xflr5 v6.38

Plane name :        Decode1_Wing_modif
Polar name :        T1-30.0 m/s-VLM2-15.0kg-x39.1mm
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.318302   0.005442   0.012352   0.017794  -0.000000  -0.000000   0.194394   0.000000   0.000000   30.0000     0.2448
   -3.800     0.000  -0.300021   0.004946   0.012164   0.017111  -0.000000  -0.000000   0.188449   0.000000   0.000000   30.0000     0.2506
   -3.600     0.000  -0.281732   0.004477   0.011969   0.016446  -0.000000  -0.000000   0.182495   0.000000   0.000000   30.0000     0.2571
   -3.400     0.000  -0.263433   0.004034   0.011807   0.015840  -0.000000  -0.000000   0.176534   0.000000   0.000000   30.0000     0.2646
   -3.200     0.000  -0.245126   0.003617   0.011675   0.015292  -0.000000  -0.000000   0.170565   0.000000   0.000000   30.0000     0.2732
   -3.000     0.000  -0.226811   0.003226   0.011522   0.014748  -0.000000  -0.000000   0.164588   0.000000   0.000000   30.0000     0.2831
   -2.800     0.000  -0.208489   0.002861   0.011384   0.014245  -0.000000  -0.000000   0.158604   0.000000   0.000000   30.0000     0.2949
   -2.600     0.000  -0.190160   0.002522   0.011274   0.013796  -0.000000  -0.000000   0.152614   0.000000   0.000000   30.0000     0.3089
   -2.400     0.000  -0.171824   0.002210   0.011167   0.013377  -0.000000  -0.000000   0.146616   0.000000   0.000000   30.0000     0.3259
   -2.200     0.000  -0.153483   0.001924   0.011070   0.012994  -0.000000  -0.000000   0.140612   0.000000   0.000000   30.0000     0.3469
   -2.000     0.000  -0.135137   0.001664   0.010976   0.012640  -0.000000  -0.000000   0.134603   0.000000   0.000000   30.0000     0.3737
   -1.800     0.000  -0.116785   0.001430   0.010890   0.012321  -0.000000  -0.000000   0.128587   0.000000   0.000000   30.0000     0.4090
   -1.600     0.000  -0.098429   0.001224   0.010804   0.012027   0.000000  -0.000000   0.122566  -0.000000  -0.000000   30.0000     0.4574
   -1.400     0.000  -0.080070   0.001043   0.010691   0.011735   0.000000  -0.000000   0.116539  -0.000000  -0.000000   30.0000     0.5279
   -1.200     0.000  -0.061707   0.000889   0.010488   0.011378   0.000000  -0.000000   0.110508  -0.000000  -0.000000   30.0000     0.6405
   -1.000     0.000  -0.043341   0.000762   0.009639   0.010401   0.000000  -0.000000   0.104470  -0.000000  -0.000000   30.0000     0.8486
   -0.800     0.000  -0.024973   0.000661   0.008906   0.009567   0.000000  -0.000000   0.098429  -0.000000  -0.000000   30.0000     1.3627
   -0.600     0.000  -0.006603   0.000587   0.008570   0.009157   0.000000  -0.000000   0.092385  -0.000000  -0.000000   30.0000     4.7379
