xflr5 v6.38

Plane name :        Decode1_Wing_modif
Polar name :        T1-30.0 m/s-VLM2-15.0kg-x39.1mm
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.197857   0.002104   0.012091   0.014195  -0.000000   0.000000  -0.112376   0.000000   0.000000   30.0000    -0.1532
   -3.800     0.000  -0.179570   0.001912   0.011906   0.013818  -0.000000   0.000000  -0.118293   0.000000   0.000000   30.0000    -0.1838
   -3.600     0.000  -0.161278   0.001747   0.011758   0.013505  -0.000000   0.000000  -0.124212   0.000000   0.000000   30.0000    -0.2214
   -3.400     0.000  -0.142982   0.001608   0.011640   0.013248  -0.000000   0.000000  -0.130130   0.000000   0.000000   30.0000    -0.2687
   -3.200     0.000  -0.124683   0.001495   0.011508   0.013003  -0.000000   0.000000  -0.136049   0.000000   0.000000   30.0000    -0.3298
   -3.000     0.000  -0.106380   0.001409   0.011381   0.012790  -0.000000   0.000000  -0.141969   0.000000   0.000000   30.0000    -0.4119
   -2.800     0.000  -0.088075   0.001349   0.011285   0.012634  -0.000000   0.000000  -0.147887   0.000000   0.000000   30.0000    -0.5281
   -2.600     0.000  -0.069767   0.001316   0.011197   0.012513  -0.000000   0.000000  -0.153806   0.000000   0.000000   30.0000    -0.7054
   -2.400     0.000  -0.051458   0.001309   0.011117   0.012425  -0.000000   0.000000  -0.159724   0.000000   0.000000   30.0000    -1.0089
   -2.200     0.000  -0.033147   0.001328   0.011039   0.012367  -0.000000   0.000000  -0.165640   0.000000   0.000000   30.0000    -1.6476
   -2.000     0.000  -0.014836   0.001374   0.010971   0.012345  -0.000000   0.000000  -0.171556   0.000000   0.000000   30.0000    -3.8629
   -1.800     0.000   0.003475   0.001446   0.010905   0.012351  -0.000000   0.000000  -0.177470   0.000000   0.000000   30.0000    17.2683
   -1.600     0.000   0.021786   0.001545   0.010827   0.012372  -0.000000   0.000000  -0.183382   0.000000   0.000000   30.0000     2.8782
   -1.400     0.000   0.040096   0.001670   0.010687   0.012358  -0.000000   0.000000  -0.189292   0.000000   0.000000   30.0000     1.6311
   -1.200     0.000   0.058405   0.001822   0.010193   0.012015  -0.000000   0.000000  -0.195201   0.000000   0.000000   30.0000     1.1659
