xflr5 v6.38

Plane name :        Decode1_Wing_modif
Polar name :        T1-30.0 m/s-VLM2-15.0kg-x39.1mm
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.318626   0.005180   0.012344   0.017524   0.002610   0.000286   0.195218  -0.000825  -0.000825   30.0000     0.2454
   -3.800     0.000  -0.300344   0.004711   0.012156   0.016868   0.002605   0.000282   0.189278  -0.000824  -0.000825   30.0000     0.2513
   -3.600     0.000  -0.282053   0.004267   0.011961   0.016228   0.002600   0.000277   0.183329  -0.000824  -0.000825   30.0000     0.2579
   -3.400     0.000  -0.263754   0.003848   0.011798   0.015646   0.002595   0.000273   0.177372  -0.000824  -0.000825   30.0000     0.2654
   -3.200     0.000  -0.245446   0.003454   0.011666   0.015121   0.002590   0.000268   0.171408  -0.000823  -0.000824   30.0000     0.2740
   -3.000     0.000  -0.227131   0.003085   0.011514   0.014599   0.002586   0.000264   0.165436  -0.000823  -0.000824   30.0000     0.2841
   -2.800     0.000  -0.208809   0.002741   0.011376   0.014117   0.002581   0.000259   0.159457  -0.000823  -0.000823   30.0000     0.2959
   -2.600     0.000  -0.190480   0.002422   0.011266   0.013688   0.002576   0.000255   0.153471  -0.000822  -0.000823   30.0000     0.3100
   -2.400     0.000  -0.172145   0.002128   0.011159   0.013286   0.002572   0.000250   0.147478  -0.000822  -0.000823   30.0000     0.3270
   -2.200     0.000  -0.153804   0.001859   0.011062   0.012921   0.002568   0.000246   0.141479  -0.000821  -0.000822   30.0000     0.3482
   -2.000     0.000  -0.135459   0.001615   0.010967   0.012582   0.002563   0.000241   0.135474  -0.000821  -0.000822   30.0000     0.3751
   -1.800     0.000  -0.117109   0.001397   0.010881   0.012278   0.002559   0.000236   0.129463  -0.000820  -0.000821   30.0000     0.4105
   -1.600     0.000  -0.098754   0.001203   0.010795   0.011998   0.002555   0.000232   0.123446  -0.000820  -0.000820   30.0000     0.4590
   -1.400     0.000  -0.080396   0.001035   0.010683   0.011718   0.002550   0.000227   0.117425  -0.000819  -0.000820   30.0000     0.5297
   -1.200     0.000  -0.062035   0.000893   0.010480   0.011372   0.002546   0.000223   0.111398  -0.000818  -0.000819   30.0000     0.6422
   -1.000     0.000  -0.043671   0.000775   0.009633   0.010408   0.002542   0.000218   0.105365  -0.000818  -0.000819   30.0000     0.8494
   -0.800     0.000  -0.025305   0.000683   0.008898   0.009581   0.002538   0.000214   0.099328  -0.000817  -0.000818   30.0000     1.3574
   -0.600     0.000  -0.006937   0.000616   0.008562   0.009178   0.002534   0.000209   0.093288  -0.000816  -0.000817   30.0000     4.5558
   -0.400     0.000   0.011432   0.000575   0.008393   0.008967   0.002530   0.000205   0.087245  -0.000816  -0.000816   30.0000    -2.5240
   -0.200     0.000   0.029802   0.000559   0.008288   0.008847   0.002527   0.000200   0.081199  -0.000815  -0.000816   30.0000    -0.8761
    0.000     0.000   0.048172   0.000568   0.008223   0.008792   0.002523   0.000196   0.075149  -0.000814  -0.000815   30.0000    -0.4850
    0.200     0.000   0.066542   0.000603   0.008195   0.008798   0.002519   0.000191   0.069096  -0.000813  -0.000814   30.0000    -0.3098
    0.400     0.000   0.084911   0.000663   0.008193   0.008857   0.002516   0.000187   0.063041  -0.000812  -0.000813   30.0000    -0.2104
    0.600     0.000   0.103279   0.000749   0.008217   0.008966   0.002512   0.000182   0.056983  -0.000811  -0.000812   30.0000    -0.1464
    0.800     0.000   0.121645   0.000860   0.008263   0.009123   0.002508   0.000178   0.050923  -0.000811  -0.000811   30.0000    -0.1017
    1.000     0.000   0.140009   0.000996   0.008324   0.009320   0.002505   0.000173   0.044861  -0.000810  -0.000810   30.0000    -0.0687
    1.200     0.000   0.158370   0.001158   0.008406   0.009564   0.002502   0.000169   0.038798  -0.000809  -0.000809   30.0000    -0.0434
    1.400     0.000   0.176729   0.001345   0.008501   0.009846   0.002498   0.000164   0.032733  -0.000808  -0.000808   30.0000    -0.0233
    1.600     0.000   0.195083   0.001557   0.008614   0.010171   0.002495   0.000160   0.026667  -0.000807  -0.000807   30.0000    -0.0071
    1.800     0.000   0.213433   0.001795   0.008737   0.010532   0.002492   0.000155   0.020600  -0.000806  -0.000806   30.0000     0.0064
    2.000     0.000   0.231779   0.002057   0.008861   0.010918   0.002489   0.000151   0.014532  -0.000805  -0.000805   30.0000     0.0178
    2.200     0.000   0.250119   0.002346   0.008980   0.011326   0.002486   0.000146   0.008465  -0.000803  -0.000804   30.0000     0.0275
    2.400     0.000   0.268454   0.002659   0.009094   0.011753   0.002483   0.000142   0.002397  -0.000802  -0.000803   30.0000     0.0358
    2.600     0.000   0.286783   0.002998   0.009209   0.012207   0.002480   0.000137  -0.003670  -0.000801  -0.000802   30.0000     0.0431
    2.800     0.000   0.305105   0.003362   0.009324   0.012685   0.002477   0.000133  -0.009736  -0.000800  -0.000800   30.0000     0.0495
    3.000     0.000   0.323420   0.003751   0.009436   0.013186   0.002474   0.000128  -0.015802  -0.000799  -0.000799   30.0000     0.0552
    3.200     0.000   0.341727   0.004165   0.009540   0.013704   0.002471   0.000124  -0.021866  -0.000798  -0.000798   30.0000     0.0603
    3.400     0.000   0.360026   0.004604   0.009642   0.014246   0.002469   0.000119  -0.027929  -0.000796  -0.000797   30.0000     0.0649
    3.600     0.000   0.378317   0.005068   0.009743   0.014811   0.002466   0.000115  -0.033990  -0.000795  -0.000795   30.0000     0.0690
    3.800     0.000   0.396599   0.005557   0.009839   0.015395   0.002464   0.000111  -0.040049  -0.000794  -0.000794   30.0000     0.0727
    4.000     0.000   0.414871   0.006071   0.009930   0.016001   0.002461   0.000106  -0.046106  -0.000792  -0.000792   30.0000     0.0762
    4.200     0.000   0.433133   0.006609   0.010020   0.016629   0.002459   0.000102  -0.052160  -0.000791  -0.000791   30.0000     0.0793
    4.400     0.000   0.451385   0.007173   0.010110   0.017283   0.002456   0.000097  -0.058211  -0.000790  -0.000790   30.0000     0.0822
    4.600     0.000   0.469626   0.007761   0.010198   0.017959   0.002454   0.000093  -0.064259  -0.000788  -0.000788   30.0000     0.0848
    4.800     0.000   0.487855   0.008374   0.010288   0.018662   0.002452   0.000089  -0.070304  -0.000787  -0.000787   30.0000     0.0873
    5.000     0.000   0.506072   0.009012   0.010375   0.019387   0.002450   0.000084  -0.076344  -0.000785  -0.000785   30.0000     0.0896
    5.200     0.000   0.524277   0.009674   0.010451   0.020125   0.002448   0.000080  -0.082381  -0.000784  -0.000784   30.0000     0.0917
    5.400     0.000   0.542470   0.010360   0.010537   0.020897   0.002446   0.000076  -0.088414  -0.000782  -0.000782   30.0000     0.0937
    5.600     0.000   0.560648   0.011071   0.010626   0.021697   0.002444   0.000071  -0.094442  -0.000781  -0.000780   30.0000     0.0955
    5.800     0.000   0.578813   0.011806   0.010701   0.022507   0.002442   0.000067  -0.100465  -0.000779  -0.000779   30.0000     0.0973
    6.000     0.000   0.596964   0.012565   0.010780   0.023345   0.002440   0.000063  -0.106483  -0.000777  -0.000777   30.0000     0.0989
    6.200     0.000   0.615099   0.013348   0.010866   0.024215   0.002438   0.000058  -0.112495  -0.000776  -0.000776   30.0000     0.1004
    6.400     0.000   0.633220   0.014156   0.010943   0.025098   0.002437   0.000054  -0.118502  -0.000774  -0.000774   30.0000     0.1019
    6.600     0.000   0.651325   0.014987   0.011025   0.026012   0.002435   0.000050  -0.124503  -0.000772  -0.000772   30.0000     0.1033
