xflr5 v6.38

Plane name :        Decode1_Wing_modif-dA2
Polar name :        T1-30.0 m/s-VLM2-15.0kg-x39.1mm-proj_area
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.317816   0.005765   0.012599   0.018364  -0.001156   0.014488   0.193952   0.000363   0.000262   30.0000     0.2446
   -3.800     0.000  -0.299574   0.005265   0.012283   0.017548  -0.001142   0.014492   0.188032   0.000342   0.000262   30.0000     0.2504
   -3.600     0.000  -0.281323   0.004791   0.012074   0.016864  -0.001128   0.014495   0.182105   0.000338   0.000263   30.0000     0.2570
   -3.400     0.000  -0.263063   0.004343   0.011926   0.016269  -0.001114   0.014499   0.176170   0.000342   0.000263   30.0000     0.2644
   -3.200     0.000  -0.244794   0.003922   0.011786   0.015708  -0.001101   0.014502   0.170228   0.000345   0.000264   30.0000     0.2730
   -3.000     0.000  -0.226518   0.003527   0.011651   0.015178  -0.001087   0.014504   0.164278   0.000347   0.000264   30.0000     0.2830
   -2.800     0.000  -0.208234   0.003159   0.011525   0.014684  -0.001073   0.014507   0.158321   0.000350   0.000265   30.0000     0.2947
   -2.600     0.000  -0.189943   0.002817   0.011404   0.014221  -0.001059   0.014509   0.152356   0.000351   0.000265   30.0000     0.3087
   -2.400     0.000  -0.171646   0.002502   0.011296   0.013798  -0.001045   0.014512   0.146386   0.000355   0.000266   30.0000     0.3257
   -2.200     0.000  -0.153343   0.002213   0.011185   0.013398  -0.001031   0.014514   0.140408   0.000357   0.000266   30.0000     0.3468
   -2.000     0.000  -0.135035   0.001951   0.011070   0.013020  -0.001017   0.014516   0.134425   0.000362   0.000267   30.0000     0.3736
   -1.800     0.000  -0.116722   0.001716   0.010949   0.012665  -0.001002   0.014518   0.128436   0.000372   0.000267   30.0000     0.4088
   -1.600     0.000  -0.098404   0.001507   0.010827   0.012334  -0.000988   0.014519   0.122442   0.000381   0.000268   30.0000     0.4571
   -1.400     0.000  -0.080083   0.001325   0.010668   0.011994  -0.000974   0.014521   0.116442   0.000387   0.000268   30.0000     0.5275
   -1.200     0.000  -0.061758   0.001170   0.010369   0.011539  -0.000960   0.014522   0.110437   0.000419   0.000269   30.0000     0.6397
   -1.000     0.000  -0.043430   0.001042   0.009780   0.010823  -0.000946   0.014523   0.104427   0.000451   0.000269   30.0000     0.8466
   -0.800     0.000  -0.025100   0.000941   0.008989   0.009930  -0.000931   0.014524   0.098412   0.000372   0.000270   30.0000     1.3558
   -0.600     0.000  -0.006769   0.000867   0.008554   0.009420  -0.000917   0.014525   0.092394   0.000319   0.000270   30.0000     4.6235
   -0.400     0.000   0.011564   0.000819   0.008351   0.009170  -0.000903   0.014525   0.086373   0.000297   0.000270   30.0000    -2.4694
   -0.200     0.000   0.029898   0.000799   0.008280   0.009079  -0.000889   0.014526   0.080349   0.000288   0.000271   30.0000    -0.8636
    0.000     0.000   0.048233   0.000805   0.008267   0.009072  -0.000874   0.014526   0.074322   0.000279   0.000271   30.0000    -0.4785
    0.200     0.000   0.066567   0.000838   0.008275   0.009113  -0.000860   0.014526   0.068291   0.000271   0.000271   30.0000    -0.3056
    0.400     0.000   0.084900   0.000898   0.008296   0.009194  -0.000846   0.014526   0.062258   0.000268   0.000272   30.0000    -0.2073
    0.600     0.000   0.103232   0.000985   0.008327   0.009312  -0.000831   0.014525   0.056223   0.000266   0.000272   30.0000    -0.1440
    0.800     0.000   0.121563   0.001099   0.008366   0.009465  -0.000817   0.014525   0.050185   0.000266   0.000273   30.0000    -0.0997
    1.000     0.000   0.139891   0.001240   0.008417   0.009657  -0.000802   0.014524   0.044146   0.000268   0.000273   30.0000    -0.0671
    1.200     0.000   0.158217   0.001408   0.008475   0.009882  -0.000788   0.014524   0.038105   0.000272   0.000273   30.0000    -0.0420
    1.400     0.000   0.176539   0.001602   0.008541   0.010143  -0.000773   0.014523   0.032062   0.000277   0.000274   30.0000    -0.0221
    1.600     0.000   0.194858   0.001824   0.008627   0.010450  -0.000759   0.014521   0.026019   0.000280   0.000274   30.0000    -0.0060
    1.800     0.000   0.213172   0.002072   0.008732   0.010804  -0.000744   0.014520   0.019975   0.000281   0.000274   30.0000     0.0074
    2.000     0.000   0.231482   0.002347   0.008846   0.011193  -0.000730   0.014518   0.013930   0.000281   0.000274   30.0000     0.0186
    2.200     0.000   0.249787   0.002649   0.008959   0.011608  -0.000715   0.014517   0.007885   0.000280   0.000275   30.0000     0.0282
    2.400     0.000   0.268085   0.002978   0.009070   0.012048  -0.000701   0.014515   0.001840   0.000278   0.000275   30.0000     0.0365
    2.600     0.000   0.286378   0.003333   0.009181   0.012515  -0.000686   0.014513  -0.004205   0.000277   0.000275   30.0000     0.0438
    2.800     0.000   0.304664   0.003715   0.009292   0.013007  -0.000671   0.014511  -0.010249   0.000275   0.000275   30.0000     0.0501
    3.000     0.000   0.322942   0.004124   0.009401   0.013525  -0.000657   0.014508  -0.016292   0.000275   0.000276   30.0000     0.0558
    3.200     0.000   0.341213   0.004560   0.009507   0.014067  -0.000642   0.014506  -0.022334   0.000274   0.000276   30.0000     0.0608
    3.400     0.000   0.359475   0.005022   0.009609   0.014631  -0.000628   0.014503  -0.028374   0.000274   0.000276   30.0000     0.0653
    3.600     0.000   0.377729   0.005510   0.009709   0.015219  -0.000613   0.014500  -0.034413   0.000274   0.000276   30.0000     0.0694
    3.800     0.000   0.395974   0.006025   0.009806   0.015831  -0.000598   0.014497  -0.040449   0.000274   0.000277   30.0000     0.0731
    4.000     0.000   0.414209   0.006566   0.009901   0.016467  -0.000584   0.014494  -0.046483   0.000274   0.000277   30.0000     0.0765
    4.200     0.000   0.432433   0.007134   0.009994   0.017127  -0.000569   0.014490  -0.052514   0.000275   0.000277   30.0000     0.0796
    4.400     0.000   0.450647   0.007728   0.010085   0.017813  -0.000554   0.014486  -0.058543   0.000276   0.000277   30.0000     0.0825
    4.600     0.000   0.468850   0.008348   0.010175   0.018522  -0.000540   0.014483  -0.064568   0.000277   0.000277   30.0000     0.0851
    4.800     0.000   0.487040   0.008994   0.010265   0.019259  -0.000525   0.014479  -0.070590   0.000277   0.000277   30.0000     0.0876
    5.000     0.000   0.505219   0.009666   0.010357   0.020023  -0.000510   0.014474  -0.076608   0.000278   0.000278   30.0000     0.0898
    5.200     0.000   0.523385   0.010364   0.010452   0.020817  -0.000496   0.014470  -0.082623   0.000277   0.000278   30.0000     0.0919
    5.400     0.000   0.541537   0.011089   0.010542   0.021631  -0.000481   0.014466  -0.088633   0.000277   0.000278   30.0000     0.0939
    5.600     0.000   0.559676   0.011839   0.010634   0.022473  -0.000466   0.014461  -0.094638   0.000275   0.000278   30.0000     0.0957
    5.800     0.000   0.577801   0.012615   0.010731   0.023345  -0.000451   0.014456  -0.100639   0.000274   0.000278   30.0000     0.0975
    6.000     0.000   0.595911   0.013416   0.010822   0.024238  -0.000437   0.014451  -0.106635   0.000273   0.000278   30.0000     0.0991
    6.200     0.000   0.614006   0.014243   0.010913   0.025156  -0.000422   0.014446  -0.112625   0.000270   0.000278   30.0000     0.1006
    6.400     0.000   0.632085   0.015095   0.011008   0.026103  -0.000407   0.014440  -0.118610   0.000267   0.000278   30.0000     0.1021
    6.600     0.000   0.650148   0.015973   0.011103   0.027077  -0.000393   0.014435  -0.124589   0.000265   0.000278   30.0000     0.1034
    6.800     0.000   0.668194   0.016876   0.011200   0.028077  -0.000378   0.014429  -0.130561   0.000263   0.000278   30.0000     0.1047
    7.000     0.000   0.686223   0.017805   0.011299   0.029104  -0.000363   0.014423  -0.136527   0.000259   0.000278   30.0000     0.1059
    7.200     0.000   0.704235   0.018758   0.011395   0.030153  -0.000349   0.014417  -0.142487   0.000256   0.000278   30.0000     0.1071
    7.400     0.000   0.722228   0.019736   0.011498   0.031235  -0.000334   0.014411  -0.148439   0.000253   0.000278   30.0000     0.1082
    7.600     0.000   0.740203   0.020740   0.011611   0.032351  -0.000319   0.014404  -0.154384   0.000249   0.000278   30.0000     0.1093
    7.800     0.000   0.758159   0.021767   0.011727   0.033495  -0.000304   0.014398  -0.160323   0.000245   0.000278   30.0000     0.1103
    8.000     0.000   0.776095   0.022820   0.011834   0.034654  -0.000290   0.014391  -0.166252   0.000242   0.000278   30.0000     0.1112
