xflr5 v6.38

Plane name :        Decode1_Wing_modif-dES
Polar name :        T1-30.0 m/s-VLM2-15.0kg-x39.1mm-proj_area
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.059263   0.003630   0.002173   0.005803  -0.002304  -0.002435   0.167492   0.000713   0.000741   30.0000     0.9901
   -3.800     0.000  -0.057556   0.003493   0.002155   0.005648  -0.002300  -0.002432   0.162667   0.000712   0.000740   30.0000     0.9899
   -3.600     0.000  -0.055847   0.003360   0.002138   0.005498  -0.002295  -0.002429   0.157836   0.000712   0.000739   30.0000     0.9897
   -3.400     0.000  -0.054136   0.003231   0.002123   0.005354  -0.002291  -0.002426   0.153000   0.000711   0.000738   30.0000     0.9895
   -3.200     0.000  -0.052423   0.003106   0.002109   0.005215  -0.002286  -0.002423   0.148158   0.000711   0.000737   30.0000     0.9893
   -3.000     0.000  -0.050709   0.002985   0.002096   0.005081  -0.002281  -0.002421   0.143312   0.000710   0.000735   30.0000     0.9891
   -2.800     0.000  -0.048993   0.002867   0.002084   0.004951  -0.002276  -0.002418   0.138460   0.000709   0.000734   30.0000     0.9890
   -2.600     0.000  -0.047276   0.002754   0.002073   0.004827  -0.002271  -0.002415   0.133604   0.000709   0.000733   30.0000     0.9888
   -2.400     0.000  -0.045556   0.002644   0.002063   0.004708  -0.002266  -0.002412   0.128743   0.000708   0.000732   30.0000     0.9887
   -2.200     0.000  -0.043836   0.002539   0.002054   0.004593  -0.002261  -0.002409   0.123878   0.000707   0.000731   30.0000     0.9885
   -2.000     0.000  -0.042114   0.002437   0.002045   0.004483  -0.002256  -0.002406   0.119008   0.000707   0.000729   30.0000     0.9884
   -1.800     0.000  -0.040390   0.002340   0.002036   0.004376  -0.002251  -0.002403   0.114135   0.000706   0.000728   30.0000     0.9883
   -1.600     0.000  -0.038666   0.002246   0.002027   0.004273  -0.002246  -0.002400   0.109258   0.000706   0.000727   30.0000     0.9882
   -1.400     0.000  -0.036940   0.002157   0.002017   0.004174  -0.002241  -0.002397   0.104377   0.000705   0.000726   30.0000     0.9881
   -1.200     0.000  -0.035213   0.002071   0.002007   0.004078  -0.002235  -0.002394   0.099493   0.000705   0.000724   30.0000     0.9880
   -1.000     0.000  -0.033485   0.001989   0.001997   0.003986  -0.002230  -0.002391   0.094606   0.000704   0.000723   30.0000     0.9880
   -0.800     0.000  -0.031756   0.001912   0.001987   0.003899  -0.002225  -0.002388   0.089716   0.000704   0.000721   30.0000     0.9879
   -0.600     0.000  -0.030026   0.001838   0.001978   0.003817  -0.002219  -0.002385   0.084824   0.000703   0.000720   30.0000     0.9879
   -0.400     0.000  -0.028294   0.001769   0.001971   0.003740  -0.002213  -0.002382   0.079929   0.000703   0.000718   30.0000     0.9878
   -0.200     0.000  -0.026563   0.001704   0.001965   0.003668  -0.002208  -0.002379   0.075032   0.000702   0.000717   30.0000     0.9878
    0.000     0.000  -0.024830   0.001642   0.001959   0.003601  -0.002202  -0.002375   0.070134   0.000701   0.000715   30.0000     0.9878
    0.200     0.000  -0.023097   0.001585   0.001954   0.003539  -0.002197  -0.002372   0.065233   0.000701   0.000714   30.0000     0.9879
    0.400     0.000  -0.021363   0.001532   0.001949   0.003481  -0.002191  -0.002369   0.060332   0.000700   0.000712   30.0000     0.9879
    0.600     0.000  -0.019628   0.001483   0.001944   0.003427  -0.002185  -0.002366   0.055429   0.000699   0.000711   30.0000     0.9880
    0.800     0.000  -0.017893   0.001437   0.001941   0.003378  -0.002179  -0.002363   0.050525   0.000699   0.000709   30.0000     0.9880
    1.000     0.000  -0.016157   0.001396   0.001938   0.003334  -0.002173  -0.002359   0.045620   0.000698   0.000707   30.0000     0.9882
    1.200     0.000  -0.014421   0.001360   0.001934   0.003294  -0.002167  -0.002356   0.040714   0.000697   0.000705   30.0000     0.9883
    1.400     0.000  -0.012685   0.001327   0.001932   0.003258  -0.002161  -0.002353   0.035809   0.000696   0.000704   30.0000     0.9886
    1.600     0.000  -0.010948   0.001298   0.001929   0.003227  -0.002155  -0.002350   0.030903   0.000695   0.000702   30.0000     0.9889
    1.800     0.000  -0.009211   0.001273   0.001927   0.003200  -0.002149  -0.002346   0.025998   0.000695   0.000700   30.0000     0.9893
    2.000     0.000  -0.007474   0.001253   0.001925   0.003177  -0.002143  -0.002343   0.021092   0.000694   0.000698   30.0000     0.9900
    2.200     0.000  -0.005737   0.001236   0.001923   0.003159  -0.002137  -0.002340   0.016188   0.000693   0.000696   30.0000     0.9910
    2.400     0.000  -0.004000   0.001224   0.001922   0.003146  -0.002131  -0.002336   0.011284   0.000692   0.000695   30.0000     0.9929
    2.600     0.000  -0.002263   0.001215   0.001922   0.003137  -0.002124  -0.002333   0.006381   0.000691   0.000693   30.0000     0.9977
    2.800     0.000  -0.000527   0.001211   0.001922   0.003133  -0.002118  -0.002330   0.001480   0.000690   0.000691   30.0000     1.0340
    3.000     0.000   0.001210   0.001211   0.001922   0.003133  -0.002111  -0.002326  -0.003420   0.000689   0.000689   30.0000     0.9663
    3.200     0.000   0.002947   0.001215   0.001921   0.003136  -0.002105  -0.002323  -0.008318   0.000689   0.000687   30.0000     0.9785
    3.400     0.000   0.004683   0.001223   0.001921   0.003143  -0.002098  -0.002319  -0.013215   0.000688   0.000685   30.0000     0.9817
    3.600     0.000   0.006419   0.001235   0.001921   0.003156  -0.002092  -0.002316  -0.018108   0.000687   0.000683   30.0000     0.9832
    3.800     0.000   0.008154   0.001251   0.001922   0.003173  -0.002085  -0.002313  -0.023000   0.000686   0.000681   30.0000     0.9841
    4.000     0.000   0.009889   0.001271   0.001924   0.003195  -0.002079  -0.002309  -0.027889   0.000684   0.000679   30.0000     0.9848
    4.200     0.000   0.011623   0.001295   0.001926   0.003221  -0.002072  -0.002306  -0.032775   0.000683   0.000677   30.0000     0.9852
    4.400     0.000   0.013357   0.001323   0.001927   0.003251  -0.002065  -0.002302  -0.037658   0.000682   0.000674   30.0000     0.9856
    4.600     0.000   0.015090   0.001356   0.001930   0.003285  -0.002058  -0.002299  -0.042537   0.000681   0.000672   30.0000     0.9860
    4.800     0.000   0.016822   0.001392   0.001932   0.003324  -0.002052  -0.002295  -0.047413   0.000680   0.000670   30.0000     0.9863
    5.000     0.000   0.018553   0.001432   0.001935   0.003367  -0.002045  -0.002292  -0.052285   0.000678   0.000668   30.0000     0.9865
    5.200     0.000   0.020284   0.001477   0.001938   0.003414  -0.002038  -0.002288  -0.057153   0.000677   0.000666   30.0000     0.9868
    5.400     0.000   0.022013   0.001525   0.001942   0.003467  -0.002031  -0.002284  -0.062017   0.000676   0.000663   30.0000     0.9871
    5.600     0.000   0.023742   0.001578   0.001946   0.003524  -0.002024  -0.002281  -0.066877   0.000674   0.000661   30.0000     0.9873
    5.800     0.000   0.025469   0.001634   0.001951   0.003585  -0.002017  -0.002277  -0.071732   0.000673   0.000659   30.0000     0.9875
    6.000     0.000   0.027196   0.001694   0.001956   0.003650  -0.002010  -0.002274  -0.076582   0.000671   0.000656   30.0000     0.9878
    6.200     0.000   0.028921   0.001759   0.001961   0.003720  -0.002002  -0.002270  -0.081427   0.000670   0.000654   30.0000     0.9880
    6.400     0.000   0.030645   0.001827   0.001968   0.003795  -0.001995  -0.002267  -0.086266   0.000668   0.000652   30.0000     0.9883
    6.600     0.000   0.032367   0.001900   0.001976   0.003876  -0.001988  -0.002263  -0.091101   0.000667   0.000649   30.0000     0.9885
    6.800     0.000   0.034088   0.001976   0.001985   0.003961  -0.001981  -0.002259  -0.095929   0.000665   0.000647   30.0000     0.9888
    7.000     0.000   0.035808   0.002056   0.001994   0.004050  -0.001973  -0.002256  -0.100752   0.000664   0.000644   30.0000     0.9890
    7.200     0.000   0.037526   0.002140   0.002004   0.004144  -0.001966  -0.002252  -0.105569   0.000662   0.000642   30.0000     0.9893
    7.400     0.000   0.039243   0.002229   0.002013   0.004242  -0.001959  -0.002248  -0.110379   0.000661   0.000639   30.0000     0.9896
    7.600     0.000   0.040958   0.002321   0.002023   0.004343  -0.001951  -0.002245  -0.115182   0.000659   0.000637   30.0000     0.9898
    7.800     0.000   0.042671   0.002416   0.002032   0.004448  -0.001944  -0.002241  -0.119978   0.000657   0.000634   30.0000     0.9901
    8.000     0.000   0.044383   0.002516   0.002040   0.004556  -0.001936  -0.002237  -0.124767   0.000655   0.000632   30.0000     0.9904
    8.200     0.000   0.046093   0.002620   0.002049   0.004669  -0.001928  -0.002234  -0.129548   0.000653   0.000629   30.0000     0.9907
    8.400     0.000   0.047800   0.002727   0.002058   0.004786  -0.001921  -0.002230  -0.134321   0.000651   0.000627   30.0000     0.9910
    8.600     0.000   0.049506   0.002839   0.002069   0.004908  -0.001913  -0.002226  -0.139087   0.000649   0.000624   30.0000     0.9913
    8.800     0.000   0.051210   0.002954   0.002081   0.005034  -0.001905  -0.002222  -0.143846   0.000647   0.000621   30.0000     0.9916
    9.000     0.000   0.052912   0.003073   0.002093   0.005166  -0.001898  -0.002219  -0.148596   0.000644   0.000619   30.0000     0.9919
    9.200     0.000   0.054612   0.003196   0.002106   0.005302  -0.001890  -0.002215  -0.153338   0.000642   0.000616   30.0000     0.9922
    9.400     0.000   0.056309   0.003322   0.002121   0.005443  -0.001882  -0.002211  -0.158072   0.000640   0.000613   30.0000     0.9926
