xflr5 v6.47

Plane name :        Custer1-dES03
Polar name :        T1-25.0 m/s-VLM2-15.0kg-x39.1mm
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.125388   0.004576   0.015004   0.019580  -0.019190  -0.006537   0.239013   0.006224   0.006269   25.0000     0.7005
   -3.800     0.000  -0.104881   0.004257   0.014903   0.019160  -0.018916  -0.006481   0.225165   0.006158   0.006201   25.0000     0.7835
   -3.600     0.000  -0.084369   0.003973   0.014766   0.018739  -0.018641  -0.006425   0.211303   0.006091   0.006132   25.0000     0.9069
   -3.400     0.000  -0.063853   0.003723   0.014626   0.018349  -0.018366  -0.006369   0.197427   0.006024   0.006064   25.0000     1.1096
   -3.200     0.000  -0.043331   0.003509   0.014543   0.018051  -0.018090  -0.006314   0.183541   0.005956   0.005995   25.0000     1.5044
   -3.000     0.000  -0.022806   0.003329   0.014441   0.017770  -0.017814  -0.006260   0.169642   0.005888   0.005925   25.0000     2.6100
   -2.800     0.000  -0.002277   0.003183   0.014327   0.017510  -0.017537  -0.006206   0.155733   0.005820   0.005856   25.0000    23.6508
   -2.600     0.000   0.018254   0.003073   0.014242   0.017315  -0.017260  -0.006152   0.141814   0.005751   0.005786   25.0000    -2.6402
   -2.400     0.000   0.038787   0.002997   0.014133   0.017130  -0.016982  -0.006098   0.127885   0.005682   0.005715   25.0000    -1.0965
   -2.200     0.000   0.059322   0.002956   0.014066   0.017022  -0.016703  -0.006045   0.113947   0.005613   0.005645   25.0000    -0.6214
   -2.000     0.000   0.079857   0.002950   0.013981   0.016931  -0.016425  -0.005993   0.100001   0.005544   0.005574   25.0000    -0.3906
   -1.800     0.000   0.100393   0.002979   0.013898   0.016877  -0.016145  -0.005941   0.086047   0.005474   0.005503   25.0000    -0.2543
   -1.600     0.000   0.120928   0.003042   0.013829   0.016872  -0.015865  -0.005889   0.072086   0.005404   0.005431   25.0000    -0.1642
   -1.400     0.000   0.141462   0.003141   0.013769   0.016910  -0.015585  -0.005837   0.058119   0.005334   0.005359   25.0000    -0.1003
   -1.200     0.000   0.161994   0.003274   0.013697   0.016971  -0.015305  -0.005787   0.044146   0.005263   0.005287   25.0000    -0.0526
   -1.000     0.000   0.182524   0.003443   0.013638   0.017081  -0.015024  -0.005736   0.030169   0.005192   0.005215   25.0000    -0.0157
   -0.800     0.000   0.203051   0.003646   0.013588   0.017234  -0.014742  -0.005686   0.016186   0.005121   0.005142   25.0000     0.0138
   -0.600     0.000   0.223575   0.003884   0.013536   0.017419  -0.014460  -0.005637   0.002201   0.005050   0.005069   25.0000     0.0379
   -0.400     0.000   0.244094   0.004156   0.013481   0.017637  -0.014178  -0.005587  -0.011788   0.004978   0.004996   25.0000     0.0580
   -0.200     0.000   0.264609   0.004464   0.013439   0.017903  -0.013895  -0.005539  -0.025780   0.004907   0.004923   25.0000     0.0749
    0.000     0.000   0.285118   0.004806   0.013403   0.018209  -0.013612  -0.005490  -0.039773   0.004834   0.004849   25.0000     0.0894
    0.200     0.000   0.305622   0.005184   0.013354   0.018537  -0.013329  -0.005443  -0.053767   0.004762   0.004775   25.0000     0.1019
    0.400     0.000   0.326118   0.005595   0.013307   0.018903  -0.013046  -0.005395  -0.067762   0.004689   0.004701   25.0000     0.1129
    0.600     0.000   0.346608   0.006042   0.013270   0.019312  -0.012762  -0.005348  -0.081756   0.004617   0.004627   25.0000     0.1226
    0.800     0.000   0.367090   0.006523   0.013214   0.019737  -0.012478  -0.005302  -0.095750   0.004544   0.004552   25.0000     0.1312
    1.000     0.000   0.387563   0.007039   0.013128   0.020167  -0.012193  -0.005256  -0.109742   0.004470   0.004477   25.0000     0.1389
    1.200     0.000   0.408027   0.007589   0.013027   0.020617  -0.011908  -0.005210  -0.123732   0.004396   0.004402   25.0000     0.1458
    1.400     0.000   0.428482   0.008174   0.012930   0.021104  -0.011623  -0.005165  -0.137720   0.004323   0.004327   25.0000     0.1520
    1.600     0.000   0.448926   0.008794   0.012827   0.021621  -0.011338  -0.005121  -0.151703   0.004249   0.004252   25.0000     0.1577
    1.800     0.000   0.469359   0.009447   0.012726   0.022174  -0.011053  -0.005077  -0.165683   0.004175   0.004176   25.0000     0.1629
