xflr5 v6.47

Plane name :        Custer1-dE03
Polar name :        T1-25.0 m/s-VLM2-15.0kg-x39.1mm
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.039412   0.000224   0.014464   0.014688  -0.000000   0.000000  -0.019541   0.000000   0.000000   25.0000    -0.1573
   -3.800     0.000  -0.019059   0.000162   0.014379   0.014541  -0.000000   0.000000  -0.032893   0.000000   0.000000   25.0000    -0.6113
   -3.600     0.000   0.001297   0.000133   0.014241   0.014374  -0.000000   0.000000  -0.046253   0.000000   0.000000   25.0000    13.1932
   -3.400     0.000   0.021654   0.000136   0.014148   0.014284  -0.000000   0.000000  -0.059620   0.000000   0.000000   25.0000     1.0418
   -3.200     0.000   0.042014   0.000171   0.014093   0.014264  -0.000000   0.000000  -0.072992   0.000000   0.000000   25.0000     0.6667
   -3.000     0.000   0.062374   0.000240   0.013987   0.014227  -0.000000   0.000000  -0.086370   0.000000   0.000000   25.0000     0.5365
   -2.800     0.000   0.082734   0.000340   0.013912   0.014252  -0.000000   0.000000  -0.099752   0.000000   0.000000   25.0000     0.4704
   -2.600     0.000   0.103095   0.000473   0.013835   0.014308  -0.000000   0.000000  -0.113139   0.000000   0.000000   25.0000     0.4304
   -2.400     0.000   0.123454   0.000639   0.013761   0.014400  -0.000000   0.000000  -0.126529   0.000000   0.000000   25.0000     0.4036
   -2.200     0.000   0.143812   0.000837   0.013718   0.014555   0.000000   0.000000  -0.139921   0.000000  -0.000000   25.0000     0.3843
   -2.000     0.000   0.164169   0.001068   0.013645   0.014713   0.000000   0.000000  -0.153317  -0.000000  -0.000000   25.0000     0.3699
   -1.800     0.000   0.184522   0.001331   0.013596   0.014927   0.000000   0.000000  -0.166714  -0.000000  -0.000000   25.0000     0.3586
   -1.600     0.000   0.204872   0.001626   0.013550   0.015176   0.000000   0.000000  -0.180111  -0.000000  -0.000000   25.0000     0.3496
   -1.400     0.000   0.225219   0.001955   0.013510   0.015465   0.000000   0.000000  -0.193509  -0.000000  -0.000000   25.0000     0.3422
   -1.200     0.000   0.245561   0.002315   0.013461   0.015776   0.000000   0.000000  -0.206907  -0.000000  -0.000000   25.0000     0.3360
   -1.000     0.000   0.265898   0.002708   0.013431   0.016139   0.000000   0.000000  -0.220305  -0.000000  -0.000000   25.0000     0.3308
   -0.800     0.000   0.286230   0.003134   0.013406   0.016540   0.000000   0.000000  -0.233700  -0.000000  -0.000000   25.0000     0.3263
   -0.600     0.000   0.306556   0.003591   0.013372   0.016963   0.000000   0.000000  -0.247094  -0.000000  -0.000000   25.0000     0.3224
   -0.400     0.000   0.326875   0.004082   0.013346   0.017428   0.000000   0.000000  -0.260485  -0.000000  -0.000000   25.0000     0.3190
   -0.200     0.000   0.347186   0.004604   0.013332   0.017937   0.000000   0.000000  -0.273873  -0.000000  -0.000000   25.0000     0.3161
    0.000     0.000   0.367490   0.005159   0.013311   0.018470   0.000000   0.000000  -0.287257  -0.000000  -0.000000   25.0000     0.3134
    0.200     0.000   0.387786   0.005746   0.013286   0.019032   0.000000   0.000000  -0.300636  -0.000000  -0.000000   25.0000     0.3110
    0.400     0.000   0.408072   0.006365   0.013265   0.019630   0.000000   0.000000  -0.314011  -0.000000  -0.000000   25.0000     0.3089
    0.600     0.000   0.428348   0.007016   0.013245   0.020261   0.000000   0.000000  -0.327380  -0.000000  -0.000000   25.0000     0.3069
    0.800     0.000   0.448615   0.007700   0.013199   0.020899   0.000000   0.000000  -0.340742  -0.000000  -0.000000   25.0000     0.3052
    1.000     0.000   0.468870   0.008415   0.013125   0.021540   0.000000   0.000000  -0.354097  -0.000000  -0.000000   25.0000     0.3036
    1.200     0.000   0.489115   0.009162   0.013046   0.022208   0.000000   0.000000  -0.367445  -0.000000  -0.000000   25.0000     0.3021
    1.400     0.000   0.509347   0.009941   0.012970   0.022911   0.000000   0.000000  -0.380784  -0.000000  -0.000000   25.0000     0.3008
    1.600     0.000   0.529567   0.010752   0.012887   0.023639   0.000000   0.000000  -0.394115  -0.000000  -0.000000   25.0000     0.2995
    1.800     0.000   0.549773   0.011595   0.012814   0.024409   0.000000   0.000000  -0.407436  -0.000000  -0.000000   25.0000     0.2984
    2.000     0.000   0.569966   0.012469   0.012763   0.025232   0.000000   0.000000  -0.420747  -0.000000  -0.000000   25.0000     0.2973
    2.200     0.000   0.590145   0.013375   0.012715   0.026090   0.000000   0.000000  -0.434047  -0.000000  -0.000000   25.0000     0.2964
    2.400     0.000   0.610308   0.014312   0.012687   0.026999   0.000000   0.000000  -0.447336  -0.000000  -0.000000   25.0000     0.2955
    2.600     0.000   0.630457   0.015281   0.012692   0.027973   0.000000   0.000000  -0.460613  -0.000000  -0.000000   25.0000     0.2946
    2.800     0.000   0.650589   0.016281   0.012722   0.029002   0.000000   0.000000  -0.473878  -0.000000  -0.000000   25.0000     0.2938
