xflr5 v6.38

Plane name :        Decode1_Wing_modif-dAS
Polar name :        T1-30.0 m/s-VLM2-15.0kg-x39.1mm-proj_area
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.800     0.000  -0.418870   0.010970   0.013399   0.024368   0.000000  -0.000000   0.243380  -0.000000  -0.000000   30.0000     0.2347
   -2.600     0.000  -0.401479   0.010298   0.013070   0.023368   0.000000  -0.000000   0.237839  -0.000000  -0.000000   30.0000     0.2385
   -2.400     0.000  -0.384077   0.009655   0.012779   0.022434   0.000000  -0.000000   0.232290  -0.000000  -0.000000   30.0000     0.2426
   -2.200     0.000  -0.366665   0.009040   0.012621   0.021661   0.000000  -0.000000   0.226733  -0.000000  -0.000000   30.0000     0.2471
   -2.000     0.000  -0.349243   0.008454   0.012179   0.020633   0.000000  -0.000000   0.221164  -0.000000  -0.000000   30.0000     0.2521
   -1.800     0.000  -0.331812   0.007897   0.012052   0.019949   0.000000  -0.000000   0.215592  -0.000000  -0.000000   30.0000     0.2576
   -1.600     0.000  -0.314372   0.007369   0.011943   0.019312   0.000000  -0.000000   0.210013  -0.000000  -0.000000   30.0000     0.2638
   -1.400     0.000  -0.296925   0.006870   0.011833   0.018702   0.000000  -0.000000   0.204426  -0.000000  -0.000000   30.0000     0.2706
   -1.200     0.000  -0.279469   0.006399   0.011431   0.017830   0.000000  -0.000000   0.198828  -0.000000  -0.000000   30.0000     0.2783
   -1.000     0.000  -0.262007   0.005958   0.011359   0.017317   0.000000  -0.000000   0.193228  -0.000000  -0.000000   30.0000     0.2871
   -0.800     0.000  -0.244538   0.005545   0.011009   0.016554   0.000000  -0.000000   0.187618  -0.000000  -0.000000   30.0000     0.2971
   -0.600     0.000  -0.227063   0.005162   0.010687   0.015849   0.000000  -0.000000   0.182002  -0.000000  -0.000000   30.0000     0.3086
   -0.400     0.000  -0.209582   0.004808   0.010350   0.015158   0.000000  -0.000000   0.176381  -0.000000  -0.000000   30.0000     0.3221
   -0.200     0.000  -0.192097   0.004483   0.010296   0.014778   0.000000  -0.000000   0.170758  -0.000000  -0.000000   30.0000     0.3380
    0.000     0.000  -0.174607   0.004187   0.010082   0.014269   0.000000   0.000000   0.165130  -0.000000  -0.000000   30.0000     0.3571
    0.200     0.000  -0.157112   0.003920   0.009858   0.013778   0.000000   0.000000   0.159497  -0.000000  -0.000000   30.0000     0.3805
    0.400     0.000  -0.139615   0.003682   0.009668   0.013351   0.000000   0.000000   0.153859  -0.000000  -0.000000   30.0000     0.4097
    0.600     0.000  -0.122115   0.003474   0.009549   0.013023   0.000000   0.000000   0.148216  -0.000000  -0.000000   30.0000     0.4473
    0.800     0.000  -0.104612   0.003295   0.009471   0.012766   0.000000   0.000000   0.142569  -0.000000  -0.000000   30.0000     0.4975
    1.000     0.000  -0.087107   0.003145   0.009374   0.012519   0.000000   0.000000   0.136919  -0.000000  -0.000000   30.0000     0.5679
    1.200     0.000  -0.069601   0.003025   0.009321   0.012346   0.000000   0.000000   0.131264  -0.000000  -0.000000   30.0000     0.6737
