xflr5 v6.38

Plane name :        Decode1_Wing_modif-dES0
Polar name :        T1-30.0 m/s-VLM2-15.0kg-x39.1mm-proj_area
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.168168   0.005250   0.004717   0.009967  -0.000000  -0.000000   0.428785   0.000000   0.000000   30.0000     0.9937
   -3.800     0.000  -0.163306   0.004950   0.004677   0.009627  -0.000000  -0.000000   0.416421   0.000000   0.000000   30.0000     0.9935
   -3.600     0.000  -0.158440   0.004659   0.004638   0.009297  -0.000000  -0.000000   0.404042   0.000000   0.000000   30.0000     0.9934
   -3.400     0.000  -0.153570   0.004377   0.004599   0.008975  -0.000000  -0.000000   0.391648   0.000000   0.000000   30.0000     0.9933
   -3.200     0.000  -0.148695   0.004103   0.004560   0.008663  -0.000000  -0.000000   0.379239   0.000000   0.000000   30.0000     0.9932
   -3.000     0.000  -0.143816   0.003838   0.004524   0.008362  -0.000000  -0.000000   0.366818   0.000000   0.000000   30.0000     0.9931
   -2.800     0.000  -0.138932   0.003582   0.004487   0.008069  -0.000000  -0.000000   0.354383   0.000000   0.000000   30.0000     0.9930
   -2.600     0.000  -0.134045   0.003334   0.004453   0.007787  -0.000000  -0.000000   0.341937   0.000000   0.000000   30.0000     0.9929
   -2.400     0.000  -0.129155   0.003095   0.004419   0.007513  -0.000000  -0.000000   0.329478   0.000000   0.000000   30.0000     0.9928
   -2.200     0.000  -0.124260   0.002865   0.004384   0.007248  -0.000000  -0.000000   0.317008   0.000000   0.000000   30.0000     0.9928
   -2.000     0.000  -0.119362   0.002643   0.004348   0.006991  -0.000000  -0.000000   0.304527   0.000000   0.000000   30.0000     0.9927
   -1.800     0.000  -0.114461   0.002431   0.004311   0.006741  -0.000000  -0.000000   0.292036   0.000000   0.000000   30.0000     0.9927
   -1.600     0.000  -0.109557   0.002227   0.004276   0.006503  -0.000000  -0.000000   0.279536   0.000000   0.000000   30.0000     0.9926
   -1.400     0.000  -0.104650   0.002032   0.004243   0.006275  -0.000000  -0.000000   0.267027   0.000000   0.000000   30.0000     0.9926
   -1.200     0.000  -0.099740   0.001846   0.004210   0.006056  -0.000000  -0.000000   0.254510   0.000000   0.000000   30.0000     0.9926
   -1.000     0.000  -0.094827   0.001669   0.004177   0.005846  -0.000000  -0.000000   0.241985   0.000000   0.000000   30.0000     0.9926
   -0.800     0.000  -0.089912   0.001500   0.004144   0.005645  -0.000000  -0.000000   0.229453   0.000000   0.000000   30.0000     0.9927
   -0.600     0.000  -0.084994   0.001341   0.004110   0.005451  -0.000000  -0.000000   0.216915   0.000000   0.000000   30.0000     0.9927
   -0.400     0.000  -0.080074   0.001191   0.004075   0.005266  -0.000000  -0.000000   0.204370   0.000000   0.000000   30.0000     0.9928
   -0.200     0.000  -0.075152   0.001049   0.004040   0.005089  -0.000000  -0.000000   0.191821   0.000000   0.000000   30.0000     0.9929
    0.000     0.000  -0.070229   0.000917   0.004006   0.004923  -0.000000  -0.000000   0.179267   0.000000   0.000000   30.0000     0.9930
    0.200     0.000  -0.065303   0.000793   0.003970   0.004763  -0.000000  -0.000000   0.166709   0.000000   0.000000   30.0000     0.9931
