Alpha, V, dE, Xu, Xw, Zu, Zw, Zq, Mu, Mw, Mq, Yv, Yp, Yr, Lv, Lp, Lr, Nv, Np, Nr, Xde, Yde, Zde, Lde, Mde, Nde, CXu, CXa, CZu, CLa, CLq, Cmu, Cma, Cmq, CYb, CYp, CYr, Clb, Clp, Clr, Cnb, Cnp, Cnr, CXde, CYde, CZde, Clde, Cmde, Cnde, 
34.0920, 10.33072, -30.00, -3.8629, 15.18, -32.237, -31.125, -22.624, 0.036556, -8.8746, -11.604, -3.4556, 1.8826, 3.6593, 1.2617, -12.653, 17.951, 3.6732, -12.603, -3.8103, 29.856, 1.8231e-09, -137.79, -1.8088e-09, -103.49, 6.996e-09, -0.61049, 2.399, -0.29231, 4.9189, 20.461, 0.01653, -4.013, -30.027, -0.54612, 0.19835, 0.38554, 0.066468, -0.44437, 0.63042, 0.1935, -0.44262, -0.13382, 0.45673, 2.7889e-11, -2.1078, -9.2236e-12, -4.53, 3.5675e-11, 
29.6086, 10.67641, -29.50, -30.074, 151.37, -15.06, -108.39, -128.97, 0.030678, -6.1075, -7.6907, -4.7936, -1.0893, 3.6171, 2.2847, -11.85, 16.339, 6.1539, -8.9299, -4.8306, 1927.8, 5.1465e-10, -1172.9, -4.9144e-10, -68.404, 6.7466e-09, -4.5989, 23.148, 2.1934, 16.575, 112.86, 0.013423, -2.6723, -19.256, -0.73305, -0.11106, 0.36875, 0.11646, -0.40269, 0.55524, 0.31369, -0.30346, -0.16416, 27.612, 7.3715e-12, -16.8, -2.3464e-12, -2.8033, 3.2211e-11, 
31.7942, 10.48724, -28.50, -2.8747, 13.479, -31.713, -30.91, -20.163, 0.033391, -8.3448, -10.973, -3.5137, 1.3225, 3.5311, 1.162, -12.697, 17.489, 3.8891, -11.709, -3.8343, 7.4504, -8.535e-10, -114.33, 6.5777e-10, -98.076, 1.4761e-09, -0.44754, 2.0985, -0.277, 4.8121, 17.962, 0.014874, -3.7171, -27.971, -0.54702, 0.13726, 0.36648, 0.060302, -0.43926, 0.60505, 0.20182, -0.40509, -0.13265, 0.1106, -1.267e-11, -1.6972, 3.2548e-12, -4.1657, 7.3039e-12, 
31.5623, 10.50564, -28.00, -2.7178, 11.391, -31.692, -30.159, -18.994, 0.033535, -8.6909, -11.527, -3.5045, 1.6225, 3.6709, 1.0615, -12.925, 17.42, 3.8016, -11.983, -3.9145, -17.816, 2.6315e-11, -104, 4.3929e-11, -103.06, -1.057e-09, -0.42237, 1.7703, -0.28136, 4.6869, 16.892, 0.014911, -3.8645, -29.33, -0.54463, 0.16809, 0.38033, 0.054987, -0.44636, 0.60159, 0.19693, -0.41385, -0.13519, -0.26355, 3.8927e-13, -1.5384, 2.1661e-13, -4.362, -5.2121e-12, 
28.8933, 10.74662, -27.50, -5.474, 27.418, -28.739, -39.189, -30.091, 0.032501, -6.9582, -9.0498, -4.3406, 0.47587, 4.0288, 1.603, -12.826, 16.34, 5.1505, -10.404, -4.7616, 221.36, -2.0647e-11, -213.47, -1.1369e-10, -81.037, -1.2591e-09, -0.83162, 4.1654, 0.071732, 5.9537, 26.16, 0.014128, -3.0246, -22.511, -0.65943, 0.048197, 0.40804, 0.081179, -0.43303, 0.55164, 0.26082, -0.35125, -0.16075, 3.1293, -2.9187e-13, -3.0178, -5.3576e-13, -3.2778, -5.933e-12, 
29.9833, 10.64138, -27.00, -1.6942, 8.1552, -31.459, -28.998, -15.602, 0.031175, -8.2903, -11.038, -3.301, 1.9901, 3.7228, 0.82474, -13.332, 17.087, 3.5224, -12.064, -3.9081, -65.696, 2.4583e-10, -71.766, -1.3062e-10, -98.957, -8.7883e-09, -0.25993, 1.2512, -0.3005, 4.4489, 13.698, 0.013685, -3.6393, -27.727, -0.50645, 0.20356, 0.38078, 0.042179, -0.45455, 0.58258, 0.18014, -0.4113, -0.13324, -0.94719, 3.5443e-12, -1.0347, -6.2773e-13, -4.0822, -4.2236e-11, 
31.2598, 10.52228, -26.50, -1.7536, 7.0093, -32.145, -29.71, -17.797, 0.032672, -10.738, -14.726, -2.8942, 2.3784, 3.2975, 0.40522, -13.425, 17.869, 2.9127, -12.656, -3.2716, -85.878, 1.0996e-10, -90.673, -2.5762e-10, -131.43, -1.1735e-08, -0.2721, 1.0876, -0.35855, 4.6099, 15.802, 0.014505, -4.7672, -37.412, -0.44907, 0.24603, 0.3411, 0.020958, -0.4629, 0.61614, 0.15065, -0.43638, -0.11281, -1.2664, 1.6214e-12, -1.3371, -1.2663e-12, -5.5452, -5.768e-11, 
25.0344, 11.20444, -26.00, -1.8006, 15.107, -28.583, -33.998, -17.77, 0.031135, -5.9657, -7.6014, -4.8831, 0.014166, 4.4158, 1.5958, -13.653, 15.19, 6.0917, -9.3197, -5.5685, 47.4, -1.2749e-10, -100.53, 4.5677e-11, -68.975, 7.8792e-09, -0.26237, 2.2013, -0.082424, 4.954, 14.818, 0.012981, -2.4872, -18.136, -0.71154, 0.0013762, 0.42896, 0.077513, -0.44209, 0.49185, 0.29588, -0.30178, -0.18031, 0.61644, -1.658e-12, -1.3074, 1.9801e-13, -2.5666, 3.4157e-11, 
29.5172, 10.67931, -25.50, -1.3019, 5.4483, -31.449, -29.213, -15.508, 0.030364, -9.7022, -13.329, -3.546, 2.1751, 4.095, 0.79279, -13.669, 16.848, 3.751, -12.202, -4.2902, -104.65, -6.9541e-11, -70.524, 1.9714e-10, -119.57, 6.378e-09, -0.19903, 0.83294, -0.31405, 4.4662, 13.567, 0.013282, -4.244, -33.363, -0.54211, 0.22169, 0.41737, 0.0404, -0.46437, 0.57237, 0.19115, -0.41453, -0.14575, -1.4982, -9.9552e-13, -1.0096, 9.4071e-13, -4.8977, 3.0435e-11, 
30.1438, 10.61340, -25.00, -2.009, 8.1066, -31.405, -32.192, -20.906, 0.03122, -11.746, -16.5, -3.01, 3.1022, 3.8807, 0.35577, -14.114, 17.273, 2.9787, -13.235, -3.8528, -65.912, -1.4405e-10, -119.01, -1.1977e-09, -147.5, -1.3554e-08, -0.30904, 1.247, -0.28112, 4.952, 18.404, 0.013741, -5.1698, -41.559, -0.46302, 0.31813, 0.39798, 0.018243, -0.48248, 0.59047, 0.15274, -0.45244, -0.13171, -0.95532, -2.0879e-12, -1.7249, -5.7862e-12, -6.117, -6.5482e-11, 
