xflr5 v6.47

Plane name :        Custer1-dA03
Polar name :        T1-25.0 m/s-VLM2-15.0kg-x39.1mm
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.132039   0.003180   0.015153   0.018333   0.002970  -0.021462   0.255269  -0.001110  -0.001064   25.0000     0.7105
   -3.800     0.000  -0.111378   0.002829   0.015020   0.017849   0.002977  -0.021467   0.241118  -0.001113  -0.001065   25.0000     0.7904
   -3.600     0.000  -0.090711   0.002515   0.014875   0.017390   0.002984  -0.021472   0.226951  -0.001120  -0.001066   25.0000     0.9068
   -3.400     0.000  -0.070037   0.002240   0.014725   0.016965   0.002990  -0.021476   0.212772  -0.001121  -0.001066   25.0000     1.0920
   -3.200     0.000  -0.049359   0.002003   0.014599   0.016601   0.002996  -0.021480   0.198580  -0.001123  -0.001067   25.0000     1.4324
   -3.000     0.000  -0.028676   0.001804   0.014468   0.016272   0.003001  -0.021484   0.184376  -0.001130  -0.001068   25.0000     2.2641
   -2.800     0.000  -0.007990   0.001644   0.014343   0.015987   0.003006  -0.021488   0.170160  -0.001132  -0.001069   25.0000     7.4027
   -2.600     0.000   0.012700   0.001522   0.014239   0.015761   0.003011  -0.021491   0.155934  -0.001136  -0.001069   25.0000    -4.2021
   -2.400     0.000   0.033392   0.001438   0.014122   0.015561   0.003015  -0.021495   0.141698  -0.001140  -0.001070   25.0000    -1.4251
   -2.200     0.000   0.054086   0.001394   0.014012   0.015405   0.003019  -0.021497   0.127453  -0.001140  -0.001070   25.0000    -0.7729
   -2.000     0.000   0.074781   0.001387   0.013911   0.015298   0.003023  -0.021500   0.113199  -0.001145  -0.001071   25.0000    -0.4817
   -1.800     0.000   0.095476   0.001419   0.013813   0.015232   0.003026  -0.021502   0.098936  -0.001148  -0.001071   25.0000    -0.3167
   -1.600     0.000   0.116172   0.001490   0.013725   0.015215   0.003029  -0.021505   0.084667  -0.001151  -0.001072   25.0000    -0.2105
   -1.400     0.000   0.136866   0.001599   0.013644   0.015244   0.003032  -0.021506   0.070391  -0.001152  -0.001072   25.0000    -0.1365
   -1.200     0.000   0.157559   0.001747   0.013575   0.015322   0.003034  -0.021508   0.056109  -0.001151  -0.001073   25.0000    -0.0818
   -1.000     0.000   0.178250   0.001934   0.013512   0.015446   0.003036  -0.021509   0.041822  -0.001148  -0.001073   25.0000    -0.0399
   -0.800     0.000   0.198939   0.002159   0.013461   0.015620   0.003038  -0.021510   0.027529  -0.001146  -0.001073   25.0000    -0.0067
   -0.600     0.000   0.219623   0.002422   0.013407   0.015830   0.003039  -0.021511   0.013233  -0.001143  -0.001073   25.0000     0.0203
   -0.400     0.000   0.240304   0.002724   0.013357   0.016081   0.003040  -0.021512  -0.001066  -0.001139  -0.001074   25.0000     0.0426
   -0.200     0.000   0.260980   0.003065   0.013315   0.016380   0.003040  -0.021512  -0.015369  -0.001135  -0.001074   25.0000     0.0614
    0.000     0.000   0.281650   0.003444   0.013272   0.016716   0.003041  -0.021512  -0.029673  -0.001132  -0.001074   25.0000     0.0774
    0.200     0.000   0.302315   0.003861   0.013231   0.017093   0.003040  -0.021512  -0.043979  -0.001128  -0.001074   25.0000     0.0913
    0.400     0.000   0.322972   0.004317   0.013189   0.017507   0.003040  -0.021511  -0.058286  -0.001124  -0.001074   25.0000     0.1033
    0.600     0.000   0.343623   0.004812   0.013139   0.017951   0.003039  -0.021511  -0.072593  -0.001121  -0.001074   25.0000     0.1139
    0.800     0.000   0.364265   0.005344   0.013082   0.018426   0.003038  -0.021510  -0.086899  -0.001117  -0.001074   25.0000     0.1234
    1.000     0.000   0.384899   0.005915   0.013006   0.018921   0.003036  -0.021508  -0.101204  -0.001113  -0.001074   25.0000     0.1318
    1.200     0.000   0.405523   0.006524   0.012912   0.019436   0.003034  -0.021507  -0.115507  -0.001106  -0.001074   25.0000     0.1393
