xflr5 v6.47

Plane name :        Custer1-dAS03
Polar name :        T1-25.0 m/s-VLM2-15.0kg-x39.1mm
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.033708   0.002591   0.014865   0.017456  -0.000000  -0.000000   0.161424   0.000000   0.000000   25.0000     1.6911
   -3.800     0.000  -0.012998   0.002517   0.014700   0.017217  -0.000000  -0.000000   0.147238   0.000000   0.000000   25.0000     3.9409
   -3.600     0.000   0.007714   0.002482   0.014539   0.017021  -0.000000  -0.000000   0.133041   0.000000   0.000000   25.0000    -5.8916
   -3.400     0.000   0.028429   0.002486   0.014411   0.016896  -0.000000  -0.000000   0.118833  -0.000000   0.000000   25.0000    -1.3954
   -3.200     0.000   0.049146   0.002528   0.014267   0.016794  -0.000000  -0.000000   0.104615  -0.000000   0.000000   25.0000    -0.6896
   -3.000     0.000   0.069864   0.002608   0.014125   0.016733  -0.000000  -0.000000   0.090387  -0.000000   0.000000   25.0000    -0.4024
   -2.800     0.000   0.090583   0.002727   0.014007   0.016734  -0.000000  -0.000000   0.076151  -0.000000   0.000000   25.0000    -0.2466
   -2.600     0.000   0.111302   0.002884   0.013891   0.016775  -0.000000  -0.000000   0.061906  -0.000000   0.000000   25.0000    -0.1488
   -2.400     0.000   0.132020   0.003080   0.013773   0.016853  -0.000000  -0.000000   0.047654  -0.000000   0.000000   25.0000    -0.0816
   -2.200     0.000   0.152737   0.003315   0.013660   0.016975  -0.000000  -0.000000   0.033394  -0.000000   0.000000   25.0000    -0.0327
   -2.000     0.000   0.173452   0.003588   0.013554   0.017142  -0.000000  -0.000000   0.019128  -0.000000   0.000000   25.0000     0.0045
   -1.800     0.000   0.194164   0.003899   0.013455   0.017355  -0.000000  -0.000000   0.004857  -0.000000   0.000000   25.0000     0.0338
   -1.600     0.000   0.214873   0.004249   0.013365   0.017614  -0.000000  -0.000000  -0.009419  -0.000000   0.000000   25.0000     0.0574
   -1.400     0.000   0.235578   0.004638   0.013301   0.017939  -0.000000  -0.000000  -0.023700  -0.000000   0.000000   25.0000     0.0769
   -1.200     0.000   0.256278   0.005065   0.013246   0.018311  -0.000000  -0.000000  -0.037984  -0.000000   0.000000   25.0000     0.0932
   -1.000     0.000   0.276973   0.005530   0.013205   0.018735  -0.000000  -0.000000  -0.052271  -0.000000   0.000000   25.0000     0.1071
   -0.800     0.000   0.297662   0.006034   0.013159   0.019193  -0.000000  -0.000000  -0.066561  -0.000000   0.000000   25.0000     0.1191
   -0.600     0.000   0.318344   0.006576   0.013127   0.019704  -0.000000  -0.000000  -0.080852   0.000000   0.000000   25.0000     0.1295
   -0.400     0.000   0.339019   0.007157   0.013103   0.020260  -0.000000  -0.000000  -0.095145   0.000000   0.000000   25.0000     0.1387
   -0.200     0.000   0.359687   0.007776   0.013067   0.020843  -0.000000  -0.000000  -0.109438   0.000000   0.000000   25.0000     0.1467
    0.000     0.000   0.380345   0.008433   0.013040   0.021473  -0.000000  -0.000000  -0.123732   0.000000   0.000000   25.0000     0.1540
    0.200     0.000   0.400995   0.009128   0.013020   0.022148  -0.000000   0.000000  -0.138024   0.000000   0.000000   25.0000     0.1604
    0.400     0.000   0.421634   0.009862   0.012982   0.022844  -0.000000   0.000000  -0.152315   0.000000   0.000000   25.0000     0.1663
    0.600     0.000   0.442263   0.010634   0.012924   0.023558  -0.000000   0.000000  -0.166603   0.000000   0.000000   25.0000     0.1716
    0.800     0.000   0.462881   0.011443   0.012861   0.024304  -0.000000   0.000000  -0.180889   0.000000   0.000000   25.0000     0.1764
    1.000     0.000   0.483487   0.012291   0.012798   0.025089  -0.000000   0.000000  -0.195172   0.000000   0.000000   25.0000     0.1808
    1.200     0.000   0.504081   0.013176   0.012729   0.025905  -0.000000   0.000000  -0.209450   0.000000   0.000000   25.0000     0.1849
    1.400     0.000   0.524662   0.014099   0.012664   0.026763  -0.000000   0.000000  -0.223723   0.000000   0.000000   25.0000     0.1886
    1.600     0.000   0.545228   0.015060   0.012613   0.027672  -0.000000   0.000000  -0.237992   0.000000   0.000000   25.0000     0.1921
    1.800     0.000   0.565781   0.016058   0.012578   0.028636  -0.000000   0.000000  -0.252254   0.000000   0.000000   25.0000     0.1953
    2.000     0.000   0.586318   0.017094   0.012555   0.029649  -0.000000   0.000000  -0.266509   0.000000   0.000000   25.0000     0.1983
    2.200     0.000   0.606840   0.018168   0.012561   0.030728  -0.000000   0.000000  -0.280757   0.000000   0.000000   25.0000     0.2011
    2.400     0.000   0.627345   0.019278   0.012593   0.031871  -0.000000   0.000000  -0.294998   0.000000   0.000000   25.0000     0.2037
    2.600     0.000   0.647833   0.020426   0.012644   0.033070  -0.000000   0.000000  -0.309230   0.000000   0.000000   25.0000     0.2062
    2.800     0.000   0.668304   0.021611   0.012708   0.034318  -0.000000   0.000000  -0.323453   0.000000   0.000000   25.0000     0.2085
    3.000     0.000   0.688756   0.022833   0.012762   0.035595  -0.000000   0.000000  -0.337666   0.000000   0.000000   25.0000     0.2106
    3.200     0.000   0.709190   0.024091   0.012816   0.036907  -0.000000   0.000000  -0.351868   0.000000   0.000000   25.0000     0.2127
    3.400     0.000   0.729604   0.025387   0.012863   0.038250  -0.000000   0.000000  -0.366059   0.000000   0.000000   25.0000     0.2146
    3.600     0.000   0.749997   0.026719   0.012915   0.039634  -0.000000   0.000000  -0.380239   0.000000   0.000000   25.0000     0.2164
    3.800     0.000   0.770370   0.028087   0.012975   0.041062  -0.000000   0.000000  -0.394405   0.000000   0.000000   25.0000     0.2182
    4.000     0.000   0.790722   0.029492   0.013040   0.042532  -0.000000   0.000000  -0.408560  -0.000000   0.000000   25.0000     0.2198
    4.200     0.000   0.811051   0.030933   0.013115   0.044048  -0.000000   0.000000  -0.422700  -0.000000   0.000000   25.0000     0.2214
    4.400     0.000   0.831358   0.032410   0.013183   0.045592  -0.000000   0.000000  -0.436826  -0.000000   0.000000   25.0000     0.2229
    4.600     0.000   0.851641   0.033922   0.013256   0.047178  -0.000000   0.000000  -0.450937  -0.000000   0.000000   25.0000     0.2244
    4.800     0.000   0.871901   0.035471   0.013344   0.048815  -0.000000   0.000000  -0.465033  -0.000000   0.000000   25.0000     0.2257
    5.000     0.000   0.892136   0.037055   0.013442   0.050497  -0.000000   0.000000  -0.479111  -0.000000   0.000000   25.0000     0.2270
    5.200     0.000   0.912345   0.038674   0.013550   0.052224  -0.000000   0.000000  -0.493173  -0.000000   0.000000   25.0000     0.2283
