xflr5 v6.47

Plane name :        Custer1
Polar name :        T1-25.0 m/s-VLM2-15.0kg-x39.1mm
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.130498   0.002258   0.014915   0.017174   0.000000   0.000000   0.253632  -0.000000  -0.000000   25.0000     0.7149
   -3.800     0.000  -0.109864   0.001904   0.014813   0.016717   0.000000   0.000000   0.239430  -0.000000  -0.000000   25.0000     0.7964
   -3.600     0.000  -0.089225   0.001588   0.014677   0.016266   0.000000   0.000000   0.225213  -0.000000  -0.000000   25.0000     0.9156
   -3.400     0.000  -0.068579   0.001312   0.014535   0.015846   0.000000   0.000000   0.210983  -0.000000  -0.000000   25.0000     1.1067
   -3.200     0.000  -0.047929   0.001074   0.014448   0.015523   0.000000   0.000000   0.196740  -0.000000  -0.000000   25.0000     1.4625
   -3.000     0.000  -0.027275   0.000875   0.014346   0.015221   0.000000   0.000000   0.182486  -0.000000  -0.000000   25.0000     2.3573
   -2.800     0.000  -0.006617   0.000716   0.014228   0.014943   0.000000   0.000000   0.168220  -0.000000  -0.000000   25.0000     8.8400
   -2.600     0.000   0.014044   0.000595   0.014141   0.014736   0.000000   0.000000   0.153943  -0.000000  -0.000000   25.0000    -3.7515
   -2.400     0.000   0.034708   0.000513   0.014030   0.014543   0.000000   0.000000   0.139657  -0.000000  -0.000000   25.0000    -1.3508
   -2.200     0.000   0.055373   0.000471   0.013959   0.014430   0.000000   0.000000   0.125361  -0.000000  -0.000000   25.0000    -0.7419
   -2.000     0.000   0.076039   0.000467   0.013875   0.014342   0.000000   0.000000   0.111057  -0.000000  -0.000000   25.0000    -0.4639
   -1.800     0.000   0.096705   0.000503   0.013790   0.014293   0.000000   0.000000   0.096744  -0.000000  -0.000000   25.0000    -0.3047
   -1.600     0.000   0.117371   0.000578   0.013720   0.014298   0.000000   0.000000   0.082425  -0.000000  -0.000000   25.0000    -0.2016
   -1.400     0.000   0.138036   0.000691   0.013657   0.014348   0.000000   0.000000   0.068098  -0.000000  -0.000000   25.0000    -0.1294
   -1.200     0.000   0.158700   0.000845   0.013583   0.014427   0.000000   0.000000   0.053766  -0.000000  -0.000000   25.0000    -0.0759
   -1.000     0.000   0.179361   0.001037   0.013523   0.014560   0.000000   0.000000   0.039429  -0.000000  -0.000000   25.0000    -0.0348
   -0.800     0.000   0.200019   0.001268   0.013472   0.014740   0.000000   0.000000   0.025086  -0.000000  -0.000000   25.0000    -0.0022
   -0.600     0.000   0.220673   0.001538   0.013421   0.014959   0.000000   0.000000   0.010740  -0.000000  -0.000000   25.0000     0.0243
   -0.400     0.000   0.241323   0.001848   0.013366   0.015214   0.000000   0.000000  -0.003609  -0.000000  -0.000000   25.0000     0.0463
   -0.200     0.000   0.261968   0.002196   0.013323   0.015519   0.000000   0.000000  -0.017961  -0.000000  -0.000000   25.0000     0.0648
    0.000     0.000   0.282608   0.002584   0.013286   0.015870   0.000000   0.000000  -0.032316  -0.000000  -0.000000   25.0000     0.0806
    0.200     0.000   0.303241   0.003011   0.013237   0.016247   0.000000   0.000000  -0.046671  -0.000000  -0.000000   25.0000     0.0943
    0.400     0.000   0.323867   0.003476   0.013190   0.016666   0.000000   0.000000  -0.061027  -0.000000  -0.000000   25.0000     0.1062
    0.600     0.000   0.344486   0.003981   0.013152   0.017132   0.000000   0.000000  -0.075384  -0.000000  -0.000000   25.0000     0.1167
    0.800     0.000   0.365096   0.004524   0.013097   0.017621   0.000000  -0.000000  -0.089739  -0.000000  -0.000000   25.0000     0.1260
    1.000     0.000   0.385698   0.005106   0.013012   0.018118   0.000000  -0.000000  -0.104094  -0.000000  -0.000000   25.0000     0.1343
    1.200     0.000   0.406290   0.005727   0.012910   0.018637   0.000000  -0.000000  -0.118446  -0.000000  -0.000000   25.0000     0.1418
    1.400     0.000   0.426872   0.006387   0.012812   0.019199   0.000000  -0.000000  -0.132796  -0.000000  -0.000000   25.0000     0.1486
    1.600     0.000   0.447442   0.007086   0.012710   0.019796   0.000000  -0.000000  -0.147142  -0.000000  -0.000000   25.0000     0.1547
    1.800     0.000   0.468002   0.007822   0.012610   0.020432   0.000000  -0.000000  -0.161484  -0.000000  -0.000000   25.0000     0.1603
    2.000     0.000   0.488549   0.008598   0.012528   0.021126   0.000000  -0.000000  -0.175822  -0.000000  -0.000000   25.0000     0.1654
    2.200     0.000   0.509083   0.009412   0.012461   0.021873   0.000000  -0.000000  -0.190154  -0.000000  -0.000000   25.0000     0.1702
    2.400     0.000   0.529603   0.010264   0.012401   0.022665   0.000000  -0.000000  -0.204481  -0.000000  -0.000000   25.0000     0.1745
