J       CT       CP       eta
0.092	0.12108	0.062064 0.214
0.121	0.11856	0.06264	0.275
0.144	0.11628	0.062784 0.319
0.165	0.11412	0.063216 0.358
0.191	0.111	0.06336	0.403
0.214	0.10812	0.06336	0.438
0.239	0.105	0.06336	0.474
0.26	0.10188	0.06336	0.502
0.286	0.09816	0.063216 0.534
0.311	0.09456	0.062928 0.56
0.33	0.09144	0.06264	0.578
0.353	0.0876	0.06192	0.6
0.38	0.08244	0.060768 0.62
0.405	0.07764	0.059328 0.636
0.426	0.07344	0.057888 0.65
0.449	0.06864	0.056016 0.66
0.472	0.06396	0.054	0.67
0.495	0.05904	0.051984 0.675
0.523	0.05124	0.047808 0.672
0.543	0.0462	0.045072 0.669
0.566	0.03996	0.041472 0.656
0.596	0.03192	0.036576 0.624
0.617	0.02628	0.033264 0.587
0.645	0.01848	0.028224 0.507
0.663	0.01464	0.025488 0.456
0.692	0.00636	0.019872 0.268
0.716	0	0.01512	0.002
0.741	-0.00636 0.009936 -0.575
