xflr5 v6.47

Plane name :        Custer1-dA03
Polar name :        T1-20.0 m/s-VLM2-16.0kg-x39.1mm
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.010091   0.000557   0.011301   0.011857  -0.000176  -0.020298  -0.105601  -0.000014   0.000007   20.0000    -3.6393
   -3.800     0.000   0.006544   0.000565   0.011146   0.011711  -0.000160  -0.020299  -0.107829  -0.000011   0.000007   20.0000     5.8297
   -3.600     0.000   0.023180   0.000594   0.011025   0.011620  -0.000143  -0.020300  -0.110058  -0.000011   0.000007   20.0000     1.7071
   -3.400     0.000   0.039816   0.000644   0.010903   0.011548  -0.000127  -0.020301  -0.112286  -0.000018   0.000007   20.0000     1.0295
   -3.200     0.000   0.056453   0.000715   0.010773   0.011488  -0.000111  -0.020301  -0.114516  -0.000020   0.000007   20.0000     0.7512
   -3.000     0.000   0.073089   0.000807   0.010659   0.011465  -0.000095  -0.020301  -0.116745  -0.000025   0.000007   20.0000     0.5997
   -2.800     0.000   0.089724   0.000919   0.010539   0.011458  -0.000080  -0.020301  -0.118975  -0.000031   0.000007   20.0000     0.5043
   -2.600     0.000   0.106359   0.001052   0.010422   0.011474  -0.000064  -0.020301  -0.121205  -0.000031   0.000007   20.0000     0.4388
   -2.400     0.000   0.122992   0.001206   0.010326   0.011533  -0.000049  -0.020300  -0.123435  -0.000036   0.000006   20.0000     0.3910
   -2.200     0.000   0.139622   0.001381   0.010226   0.011607  -0.000035  -0.020300  -0.125665  -0.000039   0.000006   20.0000     0.3545
   -2.000     0.000   0.156251   0.001577   0.010133   0.011709  -0.000020  -0.020299  -0.127895  -0.000042   0.000006   20.0000     0.3259
   -1.800     0.000   0.172876   0.001793   0.010042   0.011835  -0.000006  -0.020297  -0.130124  -0.000047   0.000006   20.0000     0.3027
   -1.600     0.000   0.189499   0.002030   0.009955   0.011985   0.000008  -0.020296  -0.132353  -0.000050   0.000006   20.0000     0.2837
   -1.400     0.000   0.206117   0.002288   0.009871   0.012159   0.000022  -0.020294  -0.134582  -0.000054   0.000006   20.0000     0.2676
   -1.200     0.000   0.222732   0.002566   0.009799   0.012365   0.000035  -0.020292  -0.136810  -0.000057   0.000006   20.0000     0.2540
   -1.000     0.000   0.239342   0.002866   0.009732   0.012598   0.000048  -0.020290  -0.139037  -0.000059   0.000006   20.0000     0.2423
   -0.800     0.000   0.255947   0.003185   0.009673   0.012858   0.000061  -0.020287  -0.141264  -0.000059   0.000006   20.0000     0.2321
   -0.600     0.000   0.272547   0.003526   0.009620   0.013146   0.000074  -0.020284  -0.143489  -0.000058   0.000006   20.0000     0.2232
   -0.400     0.000   0.289140   0.003887   0.009573   0.013460   0.000086  -0.020281  -0.145714  -0.000056   0.000006   20.0000     0.2152
   -0.200     0.000   0.305728   0.004269   0.009528   0.013797   0.000098  -0.020278  -0.147938  -0.000054   0.000006   20.0000     0.2082
    0.000     0.000   0.322309   0.004671   0.009480   0.014151   0.000110  -0.020275  -0.150160  -0.000051   0.000006   20.0000     0.2018
    0.200     0.000   0.338883   0.005094   0.009429   0.014523   0.000122  -0.020271  -0.152381  -0.000049   0.000006   20.0000     0.1961
    0.400     0.000   0.355450   0.005537   0.009370   0.014907   0.000133  -0.020267  -0.154601  -0.000046   0.000006   20.0000     0.1909
    0.600     0.000   0.372009   0.006001   0.009298   0.015299   0.000144  -0.020263  -0.156819  -0.000043   0.000006   20.0000     0.1862
    0.800     0.000   0.388559   0.006485   0.009207   0.015692   0.000155  -0.020258  -0.159036  -0.000038   0.000006   20.0000     0.1819
    1.000     0.000   0.405101   0.006989   0.009096   0.016085   0.000165  -0.020253  -0.161250  -0.000030   0.000006   20.0000     0.1780
    1.200     0.000   0.421634   0.007514   0.008977   0.016491   0.000175  -0.020248  -0.163463  -0.000020   0.000006   20.0000     0.1743
    1.400     0.000   0.438157   0.008059   0.008850   0.016909   0.000185  -0.020243  -0.165674  -0.000005   0.000006   20.0000     0.1709
    1.600     0.000   0.454671   0.008624   0.008749   0.017373   0.000195  -0.020238  -0.167883   0.000007   0.000005   20.0000     0.1678
    1.800     0.000   0.471173   0.009209   0.008685   0.017894   0.000204  -0.020232  -0.170089   0.000016   0.000005   20.0000     0.1649
    2.000     0.000   0.487666   0.009815   0.008650   0.018465   0.000214  -0.020226  -0.172294   0.000025   0.000005   20.0000     0.1622
    2.200     0.000   0.504147   0.010440   0.008643   0.019083   0.000222  -0.020220  -0.174496   0.000032   0.000005   20.0000     0.1597
    2.400     0.000   0.520616   0.011085   0.008660   0.019745   0.000231  -0.020213  -0.176696   0.000037   0.000005   20.0000     0.1573
    2.600     0.000   0.537073   0.011751   0.008693   0.020444   0.000239  -0.020207  -0.178893   0.000041   0.000005   20.0000     0.1551
    2.800     0.000   0.553518   0.012436   0.008733   0.021169   0.000247  -0.020200  -0.181088   0.000044   0.000005   20.0000     0.1530
    3.000     0.000   0.569951   0.013141   0.008770   0.021911   0.000255  -0.020192  -0.183281   0.000044   0.000005   20.0000     0.1511
    3.200     0.000   0.586370   0.013865   0.008806   0.022671   0.000263  -0.020185  -0.185470   0.000044   0.000005   20.0000     0.1492
    3.400     0.000   0.602775   0.014609   0.008845   0.023454   0.000270  -0.020177  -0.187656   0.000043   0.000005   20.0000     0.1475
    3.600     0.000   0.619166   0.015373   0.008885   0.024258   0.000277  -0.020169  -0.189840   0.000042   0.000005   20.0000     0.1458
