xflr5 v6.47

Plane name :        Custer1-dAS03
Polar name :        T1-20.0 m/s-VLM2-16.0kg-x39.1mm
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000   0.066124   0.000533   0.011107   0.011640   0.000000  -0.000000  -0.134652   0.000000  -0.000000   20.0000     0.7549
   -3.800     0.000   0.082790   0.000638   0.010992   0.011630   0.000000  -0.000000  -0.136894   0.000000  -0.000000   20.0000     0.6201
   -3.600     0.000   0.099454   0.000765   0.010864   0.011629   0.000000  -0.000000  -0.139135   0.000000  -0.000000   20.0000     0.5305
   -3.400     0.000   0.116118   0.000912   0.010720   0.011632   0.000000  -0.000000  -0.141377   0.000000  -0.000000   20.0000     0.4666
   -3.200     0.000   0.132780   0.001081   0.010599   0.011679   0.000000  -0.000000  -0.143618  -0.000000  -0.000000   20.0000     0.4187
   -3.000     0.000   0.149440   0.001270   0.010461   0.011731   0.000000  -0.000000  -0.145858  -0.000000  -0.000000   20.0000     0.3816
   -2.800     0.000   0.166098   0.001481   0.010335   0.011816   0.000000  -0.000000  -0.148099  -0.000000  -0.000000   20.0000     0.3518
   -2.600     0.000   0.182753   0.001712   0.010221   0.011933   0.000000  -0.000000  -0.150338  -0.000000  -0.000000   20.0000     0.3275
   -2.400     0.000   0.199404   0.001964   0.010112   0.012076   0.000000  -0.000000  -0.152577  -0.000000  -0.000000   20.0000     0.3073
   -2.200     0.000   0.216052   0.002237   0.010009   0.012246   0.000000   0.000000  -0.154815  -0.000000  -0.000000   20.0000     0.2902
   -2.000     0.000   0.232696   0.002531   0.009908   0.012438   0.000000   0.000000  -0.157052  -0.000000  -0.000000   20.0000     0.2755
   -1.800     0.000   0.249336   0.002846   0.009806   0.012651   0.000000   0.000000  -0.159289  -0.000000  -0.000000   20.0000     0.2628
   -1.600     0.000   0.265970   0.003181   0.009714   0.012895   0.000000   0.000000  -0.161524  -0.000000  -0.000000   20.0000     0.2517
   -1.400     0.000   0.282600   0.003537   0.009625   0.013163   0.000000   0.000000  -0.163758  -0.000000  -0.000000   20.0000     0.2419
   -1.200     0.000   0.299223   0.003915   0.009548   0.013462   0.000000   0.000000  -0.165990  -0.000000  -0.000000   20.0000     0.2331
   -1.000     0.000   0.315841   0.004312   0.009483   0.013795   0.000000   0.000000  -0.168221  -0.000000  -0.000000   20.0000     0.2253
   -0.800     0.000   0.332451   0.004731   0.009432   0.014162   0.000000   0.000000  -0.170451  -0.000000  -0.000000   20.0000     0.2183
   -0.600     0.000   0.349055   0.005170   0.009393   0.014563   0.000000   0.000000  -0.172679   0.000000  -0.000000   20.0000     0.2120
   -0.400     0.000   0.365652   0.005630   0.009349   0.014979   0.000000   0.000000  -0.174906   0.000000  -0.000000   20.0000     0.2062
   -0.200     0.000   0.382240   0.006110   0.009308   0.015418   0.000000   0.000000  -0.177130   0.000000  -0.000000   20.0000     0.2010
    0.000     0.000   0.398820   0.006611   0.009266   0.015877   0.000000   0.000000  -0.179353   0.000000  -0.000000   20.0000     0.1961
    0.200     0.000   0.415392   0.007133   0.009218   0.016351   0.000000   0.000000  -0.181574   0.000000  -0.000000   20.0000     0.1917
    0.400     0.000   0.431954   0.007675   0.009146   0.016821   0.000000   0.000000  -0.183792   0.000000  -0.000000   20.0000     0.1876
    0.600     0.000   0.448507   0.008237   0.009070   0.017307   0.000000   0.000000  -0.186009   0.000000  -0.000000   20.0000     0.1838
    0.800     0.000   0.465050   0.008820   0.008994   0.017813   0.000000   0.000000  -0.188223   0.000000  -0.000000   20.0000     0.1803
    1.000     0.000   0.481583   0.009423   0.008908   0.018331   0.000000   0.000000  -0.190434   0.000000  -0.000000   20.0000     0.1770
    1.200     0.000   0.498105   0.010046   0.008836   0.018882   0.000000   0.000000  -0.192643   0.000000  -0.000000   20.0000     0.1739
    1.400     0.000   0.514616   0.010690   0.008781   0.019470   0.000000   0.000000  -0.194849   0.000000  -0.000000   20.0000     0.1711
    1.600     0.000   0.531115   0.011353   0.008737   0.020090   0.000000   0.000000  -0.197053   0.000000  -0.000000   20.0000     0.1684
    1.800     0.000   0.547602   0.012037   0.008724   0.020761   0.000000   0.000000  -0.199253   0.000000  -0.000000   20.0000     0.1659
    2.000     0.000   0.564077   0.012740   0.008743   0.021484   0.000000   0.000000  -0.201451   0.000000  -0.000000   20.0000     0.1635
    2.200     0.000   0.580539   0.013464   0.008775   0.022239   0.000000   0.000000  -0.203646   0.000000  -0.000000   20.0000     0.1613
    2.400     0.000   0.596987   0.014207   0.008814   0.023021   0.000000   0.000000  -0.205838   0.000000  -0.000000   20.0000     0.1592
    2.600     0.000   0.613423   0.014970   0.008863   0.023834   0.000000   0.000000  -0.208027   0.000000  -0.000000   20.0000     0.1572
    2.800     0.000   0.629844   0.015753   0.008901   0.024654   0.000000   0.000000  -0.210212  -0.000000  -0.000000   20.0000     0.1553
    3.000     0.000   0.646250   0.016556   0.008931   0.025487   0.000000   0.000000  -0.212394  -0.000000  -0.000000   20.0000     0.1535
    3.200     0.000   0.662642   0.017378   0.008964   0.026341   0.000000   0.000000  -0.214573  -0.000000  -0.000000   20.0000     0.1518
    3.400     0.000   0.679018   0.018219   0.009000   0.027219   0.000000   0.000000  -0.216747  -0.000000   0.000000   20.0000     0.1502
    3.600     0.000   0.695379   0.019080   0.009043   0.028122   0.000000   0.000000  -0.218918  -0.000000  -0.000000   20.0000     0.1487
    3.800     0.000   0.711724   0.019960   0.009091   0.029051   0.000000   0.000000  -0.221086  -0.000000  -0.000000   20.0000     0.1472
    4.000     0.000   0.728052   0.020859   0.009143   0.030002   0.000000   0.000000  -0.223249  -0.000000  -0.000000   20.0000     0.1458
    4.200     0.000   0.744363   0.021777   0.009193   0.030971   0.000000   0.000000  -0.225408  -0.000000  -0.000000   20.0000     0.1445
    4.400     0.000   0.760657   0.022715   0.009262   0.031977   0.000000   0.000000  -0.227563  -0.000000  -0.000000   20.0000     0.1432
    4.600     0.000   0.776933   0.023671   0.009346   0.033017   0.000000   0.000000  -0.229715  -0.000000  -0.000000   20.0000     0.1420
    4.800     0.000   0.793191   0.024646   0.009433   0.034079   0.000000   0.000000  -0.231862  -0.000000   0.000000   20.0000     0.1408
    5.000     0.000   0.809431   0.025640   0.009518   0.035158   0.000000   0.000000  -0.234004  -0.000000  -0.000000   20.0000     0.1397
    5.200     0.000   0.825652   0.026652   0.009591   0.036243   0.000000   0.000000  -0.236142  -0.000000   0.000000   20.0000     0.1386
    5.400     0.000   0.841854   0.027683   0.009665   0.037348   0.000000   0.000000  -0.238275  -0.000000  -0.000000   20.0000     0.1376
    5.600     0.000   0.858036   0.028732   0.009750   0.038482   0.000000   0.000000  -0.240403  -0.000000   0.000000   20.0000     0.1366
    5.800     0.000   0.874197   0.029799   0.009848   0.039648   0.000000   0.000000  -0.242527  -0.000000   0.000000   20.0000     0.1356
    6.000     0.000   0.890339   0.030885   0.009953   0.040838   0.000000   0.000000  -0.244646  -0.000000  -0.000000   20.0000     0.1347
    6.200     0.000   0.906459   0.031988   0.010052   0.042040   0.000000   0.000000  -0.246760  -0.000000  -0.000000   20.0000     0.1338
    6.400     0.000   0.922559   0.033110   0.010148   0.043258   0.000000   0.000000  -0.248868  -0.000000  -0.000000   20.0000     0.1330
    6.600     0.000   0.938636   0.034249   0.010224   0.044474   0.000000   0.000000  -0.250971  -0.000000  -0.000000   20.0000     0.1321
    6.800     0.000   0.954692   0.035406   0.010316   0.045722   0.000000   0.000000  -0.253069  -0.000000   0.000000   20.0000     0.1313
    7.000     0.000   0.970725   0.036580   0.010419   0.047000   0.000000   0.000000  -0.255162  -0.000000   0.000000   20.0000     0.1306
    7.200     0.000   0.986736   0.037772   0.010537   0.048310   0.000000   0.000000  -0.257249  -0.000000   0.000000   20.0000     0.1298
    7.400     0.000   1.002723   0.038981   0.010652   0.049633   0.000000   0.000000  -0.259331  -0.000000   0.000000   20.0000     0.1291
