xflr5 v6.47

Plane name :        Custer1-dR03
Polar name :        T1-20.0 m/s-VLM2-16.0kg-x39.1mm
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.011088   0.000163   0.001282   0.001445   0.000000   0.000000  -0.003914   0.000000   0.000000   20.0000    -0.0848
   -3.800     0.000  -0.009950   0.000132   0.001276   0.001407   0.000000   0.000000  -0.004009   0.000000   0.000000   20.0000    -0.1022
   -3.600     0.000  -0.008811   0.000103   0.001270   0.001373   0.000000   0.000000  -0.004103   0.000000  -0.000000   20.0000    -0.1242
   -3.400     0.000  -0.007671   0.000078   0.001264   0.001342   0.000000   0.000000  -0.004198  -0.000000  -0.000000   20.0000    -0.1527
   -3.200     0.000  -0.006531   0.000057   0.001258   0.001315   0.000000   0.000000  -0.004292   0.000000   0.000000   20.0000    -0.1912
   -3.000     0.000  -0.005391   0.000039   0.001253   0.001291   0.000000   0.000000  -0.004386   0.000000  -0.000000   20.0000    -0.2459
   -2.800     0.000  -0.004250   0.000024   0.001247   0.001271   0.000000   0.000000  -0.004481   0.000000   0.000000   20.0000    -0.3301
   -2.600     0.000  -0.003109   0.000013   0.001241   0.001254   0.000000   0.000000  -0.004575  -0.000000   0.000000   20.0000    -0.4760
   -2.400     0.000  -0.001968   0.000005   0.001235   0.001241   0.000000   0.000000  -0.004669   0.000000   0.000000   20.0000    -0.7912
   -2.200     0.000  -0.000827   0.000001   0.001230   0.001231   0.000000   0.000000  -0.004763  -0.000000  -0.000000   20.0000    -1.9770
   -2.000     0.000   0.000315   0.000001   0.001226   0.001226   0.000000   0.000000  -0.004856   0.000000   0.000000   20.0000     5.4305
   -1.800     0.000   0.001457   0.000003   0.001222   0.001225   0.000000   0.000000  -0.004950   0.000000   0.000000   20.0000     1.2274
   -1.600     0.000   0.002599   0.000010   0.001218   0.001227   0.000000   0.000000  -0.005044  -0.000000   0.000000   20.0000     0.7177
   -1.400     0.000   0.003740   0.000019   0.001213   0.001232   0.000000   0.000000  -0.005137   0.000000   0.000000   20.0000     0.5192
   -1.200     0.000   0.004882   0.000032   0.001208   0.001241   0.000000  -0.000000  -0.005231   0.000000   0.000000   20.0000     0.4136
   -1.000     0.000   0.006024   0.000049   0.001204   0.001253   0.000000   0.000000  -0.005324   0.000000  -0.000000   20.0000     0.3479
   -0.800     0.000   0.007165   0.000069   0.001199   0.001268   0.000000  -0.000000  -0.005417  -0.000000   0.000000   20.0000     0.3032
   -0.600     0.000   0.008307   0.000093   0.001194   0.001287   0.000000  -0.000000  -0.005510  -0.000000  -0.000000   20.0000     0.2708
   -0.400     0.000   0.009448   0.000120   0.001190   0.001309   0.000000   0.000000  -0.005603   0.000000   0.000000   20.0000     0.2463
   -0.200     0.000   0.010589   0.000150   0.001185   0.001335   0.000000  -0.000000  -0.005696   0.000000   0.000000   20.0000     0.2270
    0.000     0.000   0.011729   0.000184   0.001181   0.001365   0.000000  -0.000000  -0.005788   0.000000   0.000000   20.0000     0.2115
    0.200     0.000   0.012869   0.000222   0.001177   0.001399   0.000000  -0.000000  -0.005881  -0.000000  -0.000000   20.0000     0.1987
    0.400     0.000   0.014009   0.000263   0.001174   0.001437   0.000000   0.000000  -0.005973  -0.000000  -0.000000   20.0000     0.1880
    0.600     0.000   0.015148   0.000307   0.001171   0.001478   0.000000  -0.000000  -0.006065   0.000000  -0.000000   20.0000     0.1789
    0.800     0.000   0.016287   0.000355   0.001167   0.001522   0.000000  -0.000000  -0.006157  -0.000000  -0.000000   20.0000     0.1711
