xflr5 v6.47

Plane name :        Custer1-dA00
Polar name :        T1-20.0 m/s-VLM2-16.0kg-x39.1mm
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.008618   0.000025   0.010979   0.011004   0.000000   0.000000  -0.106457  -0.000000  -0.000000   20.0000    -4.3097
   -3.800     0.000   0.007955   0.000029   0.010827   0.010856   0.000000   0.000000  -0.108672  -0.000000  -0.000000   20.0000     4.8471
   -3.600     0.000   0.024529   0.000054   0.010744   0.010798   0.000000   0.000000  -0.110887  -0.000000  -0.000000   20.0000     1.6296
   -3.400     0.000   0.041104   0.000100   0.010642   0.010742   0.000000   0.000000  -0.113104  -0.000000  -0.000000   20.0000     1.0069
   -3.200     0.000   0.057679   0.000167   0.010521   0.010689   0.000000   0.000000  -0.115320  -0.000000  -0.000000   20.0000     0.7421
   -3.000     0.000   0.074254   0.000255   0.010450   0.010705   0.000000   0.000000  -0.117537  -0.000000  -0.000000   20.0000     0.5955
   -2.800     0.000   0.090829   0.000364   0.010333   0.010697   0.000000   0.000000  -0.119754  -0.000000  -0.000000   20.0000     0.5024
   -2.600     0.000   0.107403   0.000493   0.010250   0.010743   0.000000   0.000000  -0.121971  -0.000000  -0.000000   20.0000     0.4380
   -2.400     0.000   0.123975   0.000643   0.010183   0.010827   0.000000   0.000000  -0.124188  -0.000000  -0.000000   20.0000     0.3908
   -2.200     0.000   0.140546   0.000815   0.010092   0.010907   0.000000   0.000000  -0.126405  -0.000000  -0.000000   20.0000     0.3548
   -2.000     0.000   0.157114   0.001007   0.010024   0.011031   0.000000   0.000000  -0.128622  -0.000000  -0.000000   20.0000     0.3264
   -1.800     0.000   0.173680   0.001220   0.009955   0.011175   0.000000   0.000000  -0.130838   0.000000  -0.000000   20.0000     0.3034
   -1.600     0.000   0.190243   0.001454   0.009899   0.011353   0.000000   0.000000  -0.133054  -0.000000  -0.000000   20.0000     0.2844
   -1.400     0.000   0.206802   0.001709   0.009832   0.011540   0.000000   0.000000  -0.135270  -0.000000  -0.000000   20.0000     0.2684
   -1.200     0.000   0.223358   0.001984   0.009780   0.011764   0.000000   0.000000  -0.137485  -0.000000  -0.000000   20.0000     0.2548
   -1.000     0.000   0.239909   0.002281   0.009732   0.012013   0.000000   0.000000  -0.139699   0.000000  -0.000000   20.0000     0.2431
   -0.800     0.000   0.256455   0.002598   0.009678   0.012276   0.000000   0.000000  -0.141913  -0.000000  -0.000000   20.0000     0.2329
   -0.600     0.000   0.272997   0.002936   0.009628   0.012563   0.000000   0.000000  -0.144126  -0.000000  -0.000000   20.0000     0.2239
   -0.400     0.000   0.289533   0.003294   0.009587   0.012882   0.000000   0.000000  -0.146337   0.000000  -0.000000   20.0000     0.2160
   -0.200     0.000   0.306063   0.003674   0.009548   0.013221   0.000000   0.000000  -0.148548   0.000000  -0.000000   20.0000     0.2089
    0.000     0.000   0.322586   0.004074   0.009497   0.013570   0.000000   0.000000  -0.150757  -0.000000  -0.000000   20.0000     0.2026
    0.200     0.000   0.339103   0.004495   0.009449   0.013944   0.000000   0.000000  -0.152965  -0.000000  -0.000000   20.0000     0.1969
    0.400     0.000   0.355613   0.004936   0.009390   0.014326   0.000000   0.000000  -0.155172  -0.000000  -0.000000   20.0000     0.1917
    0.600     0.000   0.372115   0.005398   0.009321   0.014718   0.000000   0.000000  -0.157377   0.000000  -0.000000   20.0000     0.1869
    0.800     0.000   0.388608   0.005880   0.009221   0.015102   0.000000   0.000000  -0.159580   0.000000  -0.000000   20.0000     0.1826
    1.000     0.000   0.405094   0.006383   0.009109   0.015492   0.000000   0.000000  -0.161781   0.000000  -0.000000   20.0000     0.1786
    1.200     0.000   0.421570   0.006907   0.008998   0.015905   0.000000   0.000000  -0.163981   0.000000  -0.000000   20.0000     0.1750
    1.400     0.000   0.438038   0.007450   0.008882   0.016332   0.000000   0.000000  -0.166178   0.000000  -0.000000   20.0000     0.1716
    1.600     0.000   0.454495   0.008014   0.008781   0.016795   0.000000   0.000000  -0.168374   0.000000  -0.000000   20.0000     0.1684
    1.800     0.000   0.470942   0.008599   0.008699   0.017298   0.000000   0.000000  -0.170567   0.000000  -0.000000   20.0000     0.1655
    2.000     0.000   0.487379   0.009203   0.008629   0.017833   0.000000   0.000000  -0.172758   0.000000  -0.000000   20.0000     0.1628
    2.200     0.000   0.503805   0.009828   0.008589   0.018417   0.000000   0.000000  -0.174946   0.000000  -0.000000   20.0000     0.1603
    2.400     0.000   0.520220   0.010473   0.008581   0.019055   0.000000   0.000000  -0.177133   0.000000  -0.000000   20.0000     0.1579
    2.600     0.000   0.536623   0.011138   0.008594   0.019733   0.000000   0.000000  -0.179317  -0.000000  -0.000000   20.0000     0.1557
    2.800     0.000   0.553013   0.011823   0.008616   0.020439   0.000000   0.000000  -0.181498   0.000000  -0.000000   20.0000     0.1536
    3.000     0.000   0.569391   0.012528   0.008649   0.021177   0.000000   0.000000  -0.183677  -0.000000  -0.000000   20.0000     0.1516
    3.200     0.000   0.585756   0.013253   0.008676   0.021929   0.000000   0.000000  -0.185853  -0.000000  -0.000000   20.0000     0.1497
    3.400     0.000   0.602108   0.013997   0.008704   0.022702   0.000000   0.000000  -0.188025  -0.000000  -0.000000   20.0000     0.1480
    3.600     0.000   0.618445   0.014761   0.008735   0.023496   0.000000   0.000000  -0.190195  -0.000000  -0.000000   20.0000     0.1463
    3.800     0.000   0.634769   0.015545   0.008773   0.024318   0.000000   0.000000  -0.192362  -0.000000  -0.000000   20.0000     0.1447
    4.000     0.000   0.651078   0.016348   0.008828   0.025177   0.000000   0.000000  -0.194525  -0.000000  -0.000000   20.0000     0.1432
    4.200     0.000   0.667372   0.017171   0.008895   0.026066   0.000000   0.000000  -0.196686  -0.000000  -0.000000   20.0000     0.1418
    4.400     0.000   0.683650   0.018013   0.008954   0.026967   0.000000   0.000000  -0.198843  -0.000000  -0.000000   20.0000     0.1404
    4.600     0.000   0.699913   0.018875   0.009011   0.027886   0.000000   0.000000  -0.200996  -0.000000  -0.000000   20.0000     0.1391
    4.800     0.000   0.716159   0.019755   0.009075   0.028830   0.000000   0.000000  -0.203145  -0.000000  -0.000000   20.0000     0.1379
    5.000     0.000   0.732389   0.020655   0.009151   0.029806   0.000000   0.000000  -0.205291  -0.000000  -0.000000   20.0000     0.1367
    5.200     0.000   0.748601   0.021574   0.009235   0.030809   0.000000   0.000000  -0.207434  -0.000000  -0.000000   20.0000     0.1356
    5.400     0.000   0.764796   0.022511   0.009322   0.031833   0.000000   0.000000  -0.209572  -0.000000  -0.000000   20.0000     0.1346
    5.600     0.000   0.780974   0.023468   0.009396   0.032864   0.000000   0.000000  -0.211706  -0.000000  -0.000000   20.0000     0.1335
    5.800     0.000   0.797133   0.024443   0.009468   0.033911   0.000000   0.000000  -0.213836  -0.000000  -0.000000   20.0000     0.1325
    6.000     0.000   0.813273   0.025436   0.009545   0.034981   0.000000   0.000000  -0.215962  -0.000000  -0.000000   20.0000     0.1316
    6.200     0.000   0.829395   0.026448   0.009632   0.036080   0.000000   0.000000  -0.218083  -0.000000  -0.000000   20.0000     0.1307
    6.400     0.000   0.845497   0.027479   0.009728   0.037207   0.000000   0.000000  -0.220200  -0.000000  -0.000000   20.0000     0.1298
    6.600     0.000   0.861579   0.028528   0.009829   0.038357   0.000000   0.000000  -0.222313  -0.000000  -0.000000   20.0000     0.1290
    6.800     0.000   0.877641   0.029595   0.009918   0.039513   0.000000   0.000000  -0.224420  -0.000000  -0.000000   20.0000     0.1282
    7.000     0.000   0.893682   0.030680   0.009999   0.040679   0.000000   0.000000  -0.226523  -0.000000  -0.000000   20.0000     0.1274
    7.200     0.000   0.909702   0.031783   0.010083   0.041866   0.000000   0.000000  -0.228621  -0.000000  -0.000000   20.0000     0.1267
    7.400     0.000   0.925701   0.032903   0.010175   0.043078   0.000000   0.000000  -0.230714  -0.000000  -0.000000   20.0000     0.1260
    7.600     0.000   0.941679   0.034042   0.010279   0.044321   0.000000   0.000000  -0.232803  -0.000000  -0.000000   20.0000     0.1253
    7.800     0.000   0.957634   0.035198   0.010391   0.045589   0.000000   0.000000  -0.234886  -0.000000  -0.000000   20.0000     0.1246
    8.000     0.000   0.973567   0.036371   0.010494   0.046865   0.000000   0.000000  -0.236964  -0.000000  -0.000000   20.0000     0.1240
    8.200     0.000   0.989476   0.037562   0.010585   0.048147   0.000000   0.000000  -0.239036  -0.000000  -0.000000   20.0000     0.1233
    8.400     0.000   1.005363   0.038770   0.010679   0.049449   0.000000   0.000000  -0.241103  -0.000000  -0.000000   20.0000     0.1227
