xflr5 v6.47

Plane name :        Custer1-dE000
Polar name :        T1-20.0 m/s-VLM2-16.0kg-x39.1mm
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.080730   0.001875   0.002617   0.004493  -0.000000  -0.000000   0.009233  -0.000000   0.000000   20.0000     0.0792
   -3.800     0.000  -0.076712   0.001693   0.002589   0.004283  -0.000000  -0.000000   0.008774  -0.000000   0.000000   20.0000     0.0792
   -3.600     0.000  -0.072691   0.001520   0.002563   0.004084  -0.000000  -0.000000   0.008315  -0.000000   0.000000   20.0000     0.0792
   -3.400     0.000  -0.068667   0.001357   0.002536   0.003892  -0.000000  -0.000000   0.007855  -0.000000   0.000000   20.0000     0.0791
   -3.200     0.000  -0.064641   0.001202   0.002510   0.003712  -0.000000  -0.000000   0.007395  -0.000000   0.000000   20.0000     0.0791
   -3.000     0.000  -0.060612   0.001057   0.002484   0.003541  -0.000000  -0.000000   0.006934  -0.000000   0.000000   20.0000     0.0791
   -2.800     0.000  -0.056581   0.000921   0.002459   0.003380  -0.000000  -0.000000   0.006473  -0.000000   0.000000   20.0000     0.0791
   -2.600     0.000  -0.052548   0.000794   0.002436   0.003231  -0.000000  -0.000000   0.006012  -0.000000  -0.000000   20.0000     0.0791
   -2.400     0.000  -0.048514   0.000677   0.002413   0.003090  -0.000000  -0.000000   0.005550  -0.000000   0.000000   20.0000     0.0791
   -2.200     0.000  -0.044477   0.000569   0.002393   0.002962  -0.000000  -0.000000   0.005089  -0.000000   0.000000   20.0000     0.0791
   -2.000     0.000  -0.040439   0.000470   0.002373   0.002843  -0.000000  -0.000000   0.004627  -0.000000  -0.000000   20.0000     0.0791
   -1.800     0.000  -0.036399   0.000381   0.002355   0.002736  -0.000000  -0.000000   0.004165  -0.000000  -0.000000   20.0000     0.0791
   -1.600     0.000  -0.032358   0.000301   0.002338   0.002640  -0.000000  -0.000000   0.003702  -0.000000  -0.000000   20.0000     0.0791
   -1.400     0.000  -0.028316   0.000231   0.002324   0.002554  -0.000000  -0.000000   0.003240  -0.000000   0.000000   20.0000     0.0791
   -1.200     0.000  -0.024273   0.000169   0.002312   0.002481  -0.000000  -0.000000   0.002777   0.000000  -0.000000   20.0000     0.0791
   -1.000     0.000  -0.020229   0.000118   0.002301   0.002419  -0.000000  -0.000000   0.002315  -0.000000  -0.000000   20.0000     0.0791
   -0.800     0.000  -0.016184   0.000075   0.002292   0.002367  -0.000000  -0.000000   0.001852  -0.000000  -0.000000   20.0000     0.0791
   -0.600     0.000  -0.012138   0.000042   0.002285   0.002328  -0.000000  -0.000000   0.001389  -0.000000  -0.000000   20.0000     0.0791
   -0.400     0.000  -0.008092   0.000019   0.002280   0.002299  -0.000000  -0.000000   0.000926   0.000000   0.000000   20.0000     0.0791
   -0.200     0.000  -0.004046   0.000005   0.002278   0.002282  -0.000000  -0.000000   0.000463  -0.000000   0.000000   20.0000     0.0791
    0.000     0.000   0.000000   0.000000   0.002276   0.002276   0.000000   0.000000   0.000000  -0.000000   0.000000   20.0000     0.0000
    0.200     0.000   0.004046   0.000005   0.002278   0.002282  -0.000000   0.000000  -0.000463  -0.000000   0.000000   20.0000     0.0791
    0.400     0.000   0.008092   0.000019   0.002280   0.002299  -0.000000   0.000000  -0.000926  -0.000000  -0.000000   20.0000     0.0791
    0.600     0.000   0.012138   0.000042   0.002285   0.002328  -0.000000   0.000000  -0.001389   0.000000   0.000000   20.0000     0.0791
    0.800     0.000   0.016184   0.000075   0.002292   0.002367  -0.000000   0.000000  -0.001852  -0.000000  -0.000000   20.0000     0.0791
    1.000     0.000   0.020229   0.000118   0.002301   0.002419  -0.000000   0.000000  -0.002315  -0.000000  -0.000000   20.0000     0.0791
    1.200     0.000   0.024273   0.000169   0.002312   0.002481  -0.000000   0.000000  -0.002777  -0.000000   0.000000   20.0000     0.0791
    1.400     0.000   0.028316   0.000231   0.002324   0.002554  -0.000000   0.000000  -0.003240  -0.000000  -0.000000   20.0000     0.0791
    1.600     0.000   0.032358   0.000301   0.002338   0.002640  -0.000000   0.000000  -0.003702  -0.000000  -0.000000   20.0000     0.0791
    1.800     0.000   0.036399   0.000381   0.002355   0.002736  -0.000000   0.000000  -0.004165  -0.000000  -0.000000   20.0000     0.0791
    2.000     0.000   0.040439   0.000470   0.002373   0.002843  -0.000000   0.000000  -0.004627  -0.000000  -0.000000   20.0000     0.0791
    2.200     0.000   0.044477   0.000569   0.002393   0.002962  -0.000000   0.000000  -0.005089  -0.000000   0.000000   20.0000     0.0791
    2.400     0.000   0.048514   0.000677   0.002413   0.003090  -0.000000   0.000000  -0.005550  -0.000000  -0.000000   20.0000     0.0791
    2.600     0.000   0.052548   0.000794   0.002435   0.003229  -0.000000   0.000000  -0.006012  -0.000000  -0.000000   20.0000     0.0791
    2.800     0.000   0.056581   0.000921   0.002459   0.003379  -0.000000   0.000000  -0.006473  -0.000000   0.000000   20.0000     0.0791
