xflr5 v6.47

Plane name :        Custer1-dR00
Polar name :        T1-20.0 m/s-VLM2-16.0kg-x39.1mm
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.022764   0.000691   0.001085   0.001776   0.000000   0.000000   0.001853   0.000000   0.000000   20.0000     0.0675
   -3.800     0.000  -0.021632   0.000624   0.001079   0.001703   0.000000   0.000000   0.001761   0.000000   0.000000   20.0000     0.0675
   -3.600     0.000  -0.020499   0.000561   0.001073   0.001634   0.000000   0.000000   0.001669   0.000000  -0.000000   20.0000     0.0675
   -3.400     0.000  -0.019365   0.000500   0.001067   0.001567   0.000000   0.000000   0.001577  -0.000000  -0.000000   20.0000     0.0675
   -3.200     0.000  -0.018230   0.000443   0.001062   0.001505   0.000000   0.000000   0.001484  -0.000000  -0.000000   20.0000     0.0675
   -3.000     0.000  -0.017095   0.000390   0.001057   0.001447   0.000000   0.000000   0.001392   0.000000  -0.000000   20.0000     0.0675
   -2.800     0.000  -0.015958   0.000340   0.001052   0.001391   0.000000   0.000000   0.001299   0.000000   0.000000   20.0000     0.0675
   -2.600     0.000  -0.014821   0.000293   0.001047   0.001340   0.000000   0.000000   0.001207  -0.000000  -0.000000   20.0000     0.0675
   -2.400     0.000  -0.013684   0.000250   0.001043   0.001292   0.000000   0.000000   0.001114   0.000000   0.000000   20.0000     0.0675
   -2.200     0.000  -0.012546   0.000210   0.001039   0.001249   0.000000   0.000000   0.001021   0.000000  -0.000000   20.0000     0.0674
   -2.000     0.000  -0.011407   0.000173   0.001036   0.001209   0.000000   0.000000   0.000929   0.000000   0.000000   20.0000     0.0674
   -1.800     0.000  -0.010268   0.000140   0.001033   0.001173   0.000000   0.000000   0.000836  -0.000000  -0.000000   20.0000     0.0674
   -1.600     0.000  -0.009128   0.000111   0.001030   0.001141   0.000000   0.000000   0.000743  -0.000000  -0.000000   20.0000     0.0674
   -1.400     0.000  -0.007988   0.000085   0.001027   0.001112   0.000000   0.000000   0.000650   0.000000   0.000000   20.0000     0.0674
