MA G/F 10x6 https://m-selig.ae.illinois.edu/props/volume-1/data/magf_10x6_kj0733_6030.txt
J       CT       CP       eta
0.0920    0.1459    0.0618    0.2140
0.1210    0.1429    0.0624    0.2750
0.1440    0.1401    0.0625    0.3190
0.1650    0.1375    0.0630    0.3580
0.1910    0.1337    0.0631    0.4030
0.2140    0.1302    0.0631    0.4380
0.2390    0.1265    0.0631    0.4740
0.2600    0.1228    0.0631    0.5020
0.2860    0.1183    0.0630    0.5340
0.3110    0.1140    0.0626    0.5600
0.3300    0.1101    0.0624    0.5780
0.3530    0.1055    0.0617    0.6000
0.3800    0.0993    0.0605    0.6200
0.4050    0.0935    0.0590    0.6360
0.4260    0.0884    0.0576    0.6500
0.4490    0.0827    0.0558    0.6600
0.4720    0.0771    0.0538    0.6700
0.4950    0.0711    0.0517    0.6750
0.5230    0.0617    0.0476    0.6720
0.5430    0.0557    0.0449    0.6690
0.5660    0.0482    0.0413    0.6560
0.5960    0.0384    0.0365    0.6240
0.6170    0.0317    0.0331    0.5870
0.6450    0.0223    0.0281    0.5070
0.6630    0.0176    0.0254    0.4560
0.6920    0.0077    0.0198    0.2680
0.7160         0    0.0150    0.0020
0.7410   -0.0077    0.0098   -0.5750
